"iso3c","year","GiniMarket","GiniNet","RedistAbs","RedistRel"
"TWN",1988,29.1317257302286,27.5568059717913,1.57491975843733,5.32328524620722
"TWN",1989,29.1013676384528,27.5805301880632,1.52083745038957,5.12435203574408
"TWN",1990,29.1438795458069,27.6075421502394,1.53633739556754,5.20657919502564
"TWN",1991,28.5412945656029,27.3245652473138,1.21672931828911,4.23062377531703
"TWN",1992,29.3873775449946,27.7167636327433,1.67061391225128,5.63292851136672
"TWN",1993,30.0230380359307,28.1668473053282,1.85619073060251,6.1271183051978
"TWN",1994,30.5294135876516,28.2911743320532,2.23823925559844,7.2676693304554
"TWN",1995,31.056350577777,28.462355385171,2.59399519260602,8.32940359553674
"TWN",1996,30.6410593655916,28.5401258855879,2.10093348000365,6.81177567179452
"TWN",1997,30.2772522022465,28.7532271841835,1.52402501806305,4.99056427628934
"TWN",1998,30.3610545835181,28.8329627424641,1.52809184105396,4.97899342202631
"TWN",1999,30.4978965196375,29.0004432475931,1.49745327204438,4.85827956486304
"TWN",2000,30.7246881072833,29.1586630784057,1.56602502887763,5.06595971809682
"TWN",2001,31.7135590930989,29.9896011000433,1.72395799305562,5.37585635258752
"TWN",2002,32.1251958132275,30.2745740652407,1.8506217479868,5.68741685249156
"TWN",2003,32.0642112427977,30.2623420303077,1.80186921249008,5.54158271973867
"TWN",2004,32.1432570213134,30.2233144683466,1.91994255296685,5.91381779398395
"TWN",2005,32.3353923157545,30.3897062974754,1.94568601827909,5.98788741590376
"TWN",2006,32.2811676290838,30.2240398534255,2.05712777565824,6.31855728279203
"TWN",2007,32.5439977630528,30.4870415862602,2.0569561767926,6.28375632580419
"TWN",2008,32.2425123676971,30.5494418618228,1.69307050587435,5.18294645374273
"TWN",2009,32.2817581856562,30.8589075588947,1.42285062676145,4.33275585328827
"TWN",2010,32.5275477547826,31.1113111619295,1.41623659285317,4.33101376357599
"TWN",2011,32.3316054321453,30.6000940754062,1.73151135673912,5.29875942901565
"TWN",2012,32.1355304411777,30.2934507132654,1.84207972791231,5.66542016876283
"TWN",2013,32.6985652390395,30.4766486845138,2.22191655452565,6.75836995207101
"TWN",2014,31.9475691139419,29.8854267546967,2.06214235924516,6.3824022314411
"TWN",2015,32.0326936329733,29.6561795466051,2.37651408636821,7.36116792435267
"TWN",2016,32.8998069545408,29.979801209413,2.92000574512778,8.85549581255849
"TWN",2017,32.1454096045073,29.5878675724498,2.5575420320575,7.89653391793023
"TJK",1988,37.5823965684764,32.0692571446853,5.51313942379109,14.3792921121765
"TJK",1989,37.8466390464276,32.1690836736627,5.67755537276486,14.74819844105
"TJK",1990,37.9029520710142,32.94929662545,4.95365544556416,12.7743513444626
"TJK",1991,38.0002117429041,33.7235403300089,4.27667141289519,10.9246903997973
"TJK",1992,37.9530558413937,34.5850102090714,3.36804563232225,8.55131219338224
"TJK",1993,38.1761654288102,35.4395283995536,2.73663702925664,6.83894988433883
"TJK",1994,38.3352919859469,36.4032761297033,1.93201585624357,4.72851161383263
"TJK",1995,38.3559043207264,37.3060835960277,1.04982072469873,2.40464781594396
"TJK",1996,38.5155884812914,38.2859944220823,0.229594059209132,0.244922803170843
"TJK",1997,38.6739606871053,39.0510075914365,-0.377046904331172,-1.29425501988861
"TJK",1998,38.7587533151264,39.9124140146282,-1.1536606995018,-3.28751995870246
"TJK",1999,38.9876501745514,40.822367304542,-1.83471712999056,-4.95700378362947
"TJK",2000,38.8130738398434,41.6586663422581,-2.84559250241473,-7.60932036941182
"TJK",2001,38.7041432919252,42.3396661661235,-3.63552287419828,-9.64875953465027
"TJK",2002,38.6756664837395,43.1234945761097,-4.44782809237025,-11.7133570901125
"TJK",2003,38.6251585591701,43.7785378347093,-5.15337927553919,-13.5386269337805
"TJK",2004,38.6791686912839,43.9462773185519,-5.267108627268,-13.8275466360494
"TJK",2005,38.5840325808175,43.9349537665356,-5.35092118571819,-14.0566444716588
"TJK",2006,38.5533801828986,43.9625341428877,-5.40915395998908,-14.2494475416316
"TJK",2007,38.2018873479113,44.0378318671481,-5.83594451923682,-15.5260792304863
"TJK",2008,38.0679306469064,44.0588660168509,-5.9909353699445,-16.0186918773215
"TJK",2009,38.0933339081277,44.0752786319372,-5.98194472380955,-15.9561954646045
"TJK",2010,38.2060934679016,44.0356701682601,-5.82957670035849,-15.5642528066256
"TJK",2011,38.1268368494209,44.1599831575842,-6.0331463081633,-16.204600081821
"TJK",2012,38.0279072985401,44.1003470415822,-6.07243974304215,-16.3493818391997
"TJK",2013,38.1232335420655,44.3049866677503,-6.18175312568481,-16.6231300444265
"TJK",2014,38.2872952298712,44.4583995771966,-6.17110434732543,-16.5392712450103
"TJK",2015,38.2844948480881,44.6918354912,-6.4073406431119,-17.2376735329926
"TZA",1980,38.6629767538961,39.3421080646473,-0.679131310751157,-2.25965296538049
"TZA",1981,38.8346598207763,39.5219327552808,-0.687272934504437,-2.25874651008852
"TZA",1982,39.0012389803143,39.6219468530205,-0.620707872706148,-2.04193603182115
"TZA",1983,38.9828145818476,39.9131814827256,-0.930366900878071,-2.78793441559891
"TZA",1984,38.9423302408156,40.1439142246463,-1.20158398383062,-3.54852810037774
"TZA",1985,39.1220258071014,40.1732156100546,-1.05118980295314,-3.17253779617943
"TZA",1986,39.1182308633073,40.3592429026615,-1.24101203935422,-3.60084192508246
"TZA",1987,39.2589881016283,40.7051035873905,-1.44611548576218,-4.1281481175383
"TZA",1988,39.1666587020887,40.7504144224983,-1.58375572040961,-4.4944249429637
"TZA",1989,39.1618287676957,41.0482003090292,-1.88637154133347,-5.20964885433218
"TZA",1990,39.0219886716478,41.1895683862911,-2.16757971464321,-5.92303475183456
"TZA",1991,38.9727958948071,41.2533158239114,-2.28051992910429,-6.19338445518845
"TZA",1992,39.169879749156,41.6311379936827,-2.46125824452675,-6.69858453461223
"TZA",1993,39.4604678125594,41.7611231798493,-2.30065536728988,-6.21865585749359
