"iso3c","year","Top10share","Top1share"
"ARG",1980,NA,NA
"ARG",1981,NA,NA
"ARG",1982,NA,NA
"ARG",1983,NA,NA
"ARG",1984,NA,NA
"ARG",1985,NA,NA
"ARG",1986,NA,NA
"ARG",1987,NA,NA
"ARG",1988,NA,NA
"ARG",1989,NA,NA
"ARG",1990,NA,NA
"ARG",1991,NA,NA
"ARG",1992,NA,NA
"ARG",1993,NA,NA
"ARG",1994,NA,NA
"ARG",1995,NA,NA
"ARG",1996,NA,NA
"ARG",1997,NA,0.1239
"ARG",1998,NA,0.1257
"ARG",1999,NA,0.1353
"ARG",2000,NA,0.1434
"ARG",2001,NA,0.12909999
"ARG",2002,NA,0.15530001
"ARG",2003,NA,0.16850001
"ARG",2004,NA,0.1675
"ARG",2005,NA,NA
"ARG",2006,NA,NA
"ARG",2007,NA,NA
"ARG",2008,NA,NA
"ARG",2009,NA,NA
"ARG",2010,NA,NA
"ARG",2011,NA,NA
"ARG",2012,NA,NA
"ARG",2013,NA,NA
"ARG",2014,NA,NA
"ARG",2015,NA,NA
"ARG",2016,NA,NA
"ARG",2017,NA,NA
"AUS",1960,0.27919999,0.0669
"AUS",1961,0.2807,0.067100003
"AUS",1962,0.2852,0.0682
"AUS",1963,0.28749999,0.069700003
"AUS",1964,0.27919999,0.064800002
"AUS",1965,0.27689999,0.0634
"AUS",1966,0.2712,0.0616
"AUS",1967,0.2721,0.0625
"AUS",1968,0.26890001,0.0605
"AUS",1969,0.26390001,0.0592
"AUS",1970,0.26100001,0.055799998
"AUS",1971,0.26629999,0.0559
"AUS",1972,0.2633,0.057399999
"AUS",1973,0.2552,0.054099999
"AUS",1974,0.24680001,0.049800001
"AUS",1975,0.2438,0.048999999
"AUS",1976,0.24070001,0.047600001
"AUS",1977,0.2406,0.0471
"AUS",1978,0.2395,0.046599999
"AUS",1979,0.241,0.0462
"AUS",1980,0.2429,0.0458
"AUS",1981,0.24250001,0.044199999
"AUS",1982,0.2481,0.0449
"AUS",1983,0.24339999,0.045000002
"AUS",1984,0.24420001,0.045499999
"AUS",1985,0.2491,0.0482
"AUS",1986,0.25670001,0.052000001
