"year","iso3c","WarYears"
1990,"LKA",1
1991,"LKA",1
1992,"LKA",1
1993,"LKA",1
1995,"LKA",1
1996,"LKA",1
1997,"LKA",1
1998,"LKA",1
1999,"LKA",1
2000,"LKA",1
2001,"LKA",1
2006,"LKA",1
2007,"LKA",1
2008,"LKA",1
2009,"LKA",1
1983,"SDN",1
1984,"SDN",1
1985,"SDN",1
1986,"SDN",1
1987,"SDN",1
1988,"SDN",1
1989,"SDN",1
1990,"SDN",1
1991,"SDN",1
1992,"SDN",1
1995,"SDN",1
1996,"SDN",1
1997,"SDN",1
1998,"SDN",1
1999,"SDN",1
2000,"SDN",1
2001,"SDN",1
2002,"SDN",1
2003,"SDN",1
2004,"SDN",1
2006,"SDN",1
2010,"SDN",1
2011,"SDN",1
2012,"SDN",1
2015,"SDN",1
2016,"SDN",1
2014,"SYR",2
2015,"SYR",2
2016,"SYR",2
2017,"SYR",2
2018,"SYR",2
1982,"SYR",1
2011,"SYR",1
2012,"SYR",1
2013,"SYR",1
1992,"TJK",1
1993,"TJK",1
1996,"TJK",1
2016,"TUR",2
1992,"TUR",1
1993,"TUR",1
1994,"TUR",1
1995,"TUR",1
1996,"TUR",1
1997,"TUR",1
1998,"TUR",1
1999,"TUR",1
1981,"UGA",1
1982,"UGA",1
1983,"UGA",1
1984,"UGA",1
1985,"UGA",1
1986,"UGA",1
1987,"UGA",1
1988,"UGA",1
1989,"UGA",1
1996,"UGA",1
2002,"UGA",1
2004,"UGA",1
2014,"UKR",2
2015,"UKR",1
2001,"GBR",1
2003,"GBR",1
2001,"USA",2
2003,"USA",1
2011,"YMD",1
2012,"YMD",1
2014,"YMD",1
2015,"YMD",1
2016,"YMD",1
2017,"YMD",1
2018,"YMD",1
1994,"YMD",1
