"year","iso3c","EFW","GovSize","LegalSystem","SoundMoney","TradeFreedom","Regulation"
2011,"ALB","7.381063619","7.820965628","4.874882436","9.775259796","7.118942527","7.315267708"
2010,"ALB","7.380725467","7.839664137","5.255863188","9.725022467","7.246923526","6.836154016"
2009,"ALB","7.313856211","7.785948426","5.543880229","9.63302116","7.243536052","6.362895189"
2008,"ALB","7.276252236","8.189873734","5.312341118","9.395341229","6.851790312","6.631914785"
2007,"ALB","7.258078274","8.633510082","4.976205634","9.424455327","6.784653664","6.471566661"
2006,"ALB","7.148668535","8.039787182","4.814244228","9.572622663","6.737935752","6.578752851"
2005,"ALB","6.985648763","8.031014943","4.710359339","9.64012419","6.327471577","6.219273768"
2004,"ALB","6.858748558","7.397515254","4.542351981","9.662736727","6.270655997","6.42048283"
2003,"ALB","7.031750015","7.832297704","4.734069353","9.806742179","6.272499519","6.513141318"
2002,"ALB","6.516059536","7.700478985","4.758499054","7.023107348","6.279985666","6.818226627"
2001,"ALB","6.32228142","7.272991385","4.580780847","7.063784984","6.075489619","6.618360264"
2000,"ALB","6.296170339","7.260723459","4.585351365","7.396283787","5.948379581","6.290113502"
1995,"ALB","5.041307483","6.222428198","4.66086352","3.2580595","6.311576377","4.784430091"
1990,"ALB","4.347427654","3.338927537","5.008742232","4.903158379","","2.73938849"
1985,"ALB","","","5.045300417","","",""
1980,"ALB","","","","","",""
2017,"DZA","4.763471709","3.577033191","4.726463891","7.341789421","2.774951125","5.397120918"
2016,"DZA","5.030748161","3.716933677","4.690742835","7.253893581","4.127024824","5.365145885"
2015,"DZA","4.794131836","3.200157231","4.551817203","6.852789873","4.008431962","5.35746291"
2014,"DZA","5.136326179","3.983686643","4.34613852","7.202944485","4.662987282","5.485873965"
2013,"DZA","5.167819644","4.035976247","4.341494124","7.170856799","4.895672412","5.395098639"
2012,"DZA","5.003921323","3.453623305","3.91791578","6.996765846","5.306787683","5.344514"
2011,"DZA","4.996976658","3.38527507","3.481856948","7.123253831","5.6896949","5.304802543"
2010,"DZA","5.160534613","3.83475922","3.839109257","7.174649972","5.788829752","5.165324861"
2009,"DZA","5.286658889","3.525686778","4.165885384","7.013377351","6.097021444","5.631323486"
2008,"DZA","5.279899558","3.491659267","4.060308332","7.614566219","5.750998127","5.481965846"
2007,"DZA","5.439376825","3.823206971","4.278939195","7.492020662","6.068718107","5.53399919"
2006,"DZA","5.611940064","3.909694488","4.714270827","7.58085179","6.110850439","5.744032775"
2005,"DZA","5.508882537","4.281688939","4.731028369","7.507687999","5.980467085","5.043540291"
2004,"DZA","5.004533701","3.924179","3.522574816","6.992673688","5.670787198","4.912453804"
2003,"DZA","4.838308245","3.420312154","3.306671031","7.180799826","5.482713808","4.801044405"
2002,"DZA","4.805579716","3.698309606","3.294131294","7.081916412","5.308178697","4.645362573"
2001,"DZA","4.830119549","4.10667798","3.303682071","6.886081046","5.107308532","4.746848119"
2000,"DZA","4.796784725","4.236875975","3.295759561","7.003710086","5.263067879","4.184510126"
1995,"DZA","4.136956996","5.032747176","4.854437127","5.371456512","2.091258246","3.401974093"
1990,"DZA","3.477926483","3.762908937","4.822666313","4.499058782","1.431172287","3.461157969"
1985,"DZA","3.639101158","2.661667364","4.848781979","6.299495924","1.593632726",""
1980,"DZA","3.840766747","3.539371211","5.052760947","5.226388707","2.15561128",""
2017,"AGO","4.835437508","6.759077394","2.950483036","5.573824821","3.209363481","5.684438809"
2016,"AGO","5.394563967","7.525830262","2.963635116","5.606605364","5.264754044","5.611995051"
2015,"AGO","5.601855285","7.297594968","2.960263718","6.88546476","5.150109074","5.715843903"
2014,"AGO","5.000603518","5.225383862","2.993651196","6.789737184","5.079895398","4.914349947"
2013,"AGO","5.074736418","4.818087099","2.990266391","6.727762005","5.949441031","4.888125563"
2012,"AGO","5.368284765","5.800299504","3.302877736","6.55843881","6.141634089","5.038173685"
2011,"AGO","5.258830808","5.835360706","3.585590842","5.671752324","6.210597302","4.990852865"
2010,"AGO","5.372787711","5.738677832","3.672884046","5.57022646","6.189830635","5.692319583"
2009,"AGO","5.357889259","7.104952989","3.622792168","5.238258976","5.811844361","5.011597803"
2008,"AGO","4.980803091","5.30737946","3.654097854","5.032836388","5.687975655","5.2217261"
2007,"AGO","4.980364792","5.239227645","3.569182405","4.453326802","6.115461548","5.52462556"
2006,"AGO","4.883131653","5.342913313","3.546462708","4.061198252","6.158949295","5.306134699"
2005,"AGO","4.002282405","4.652864698","3.148804633","1.262167574","6.218265535","4.729309586"
2004,"AGO","","","","","",""
2003,"AGO","","","","","",""
2002,"AGO","","","","","",""
2001,"AGO","","","","","",""
2000,"AGO","","","","","",""
1995,"AGO","","","","","",""
1990,"AGO","","","","","",""
1985,"AGO","","","","","",""
1980,"AGO","","","","","",""
2017,"ARG","5.665427395","5.709492577","3.976557179","6.473786545","6.548451324","5.618849348"
2016,"ARG","5.398122776","5.638987792","3.904030401","5.614335974","6.482546906","5.350712805"
2015,"ARG","5.058776008","5.69321422","3.81636162","6.455330731","3.777454147","5.551519323"
2014,"ARG","4.616992942","5.56397323","3.729503575","4.777095478","3.599648778","5.41474365"
2013,"ARG","4.992800873","5.735133251","3.613184469","6.247636663","3.847959135","5.520090848"
2012,"ARG","5.200652923","5.986817595","3.983924912","6.575353031","3.703141328","5.754027751"
2011,"ARG","5.724246381","6.153150381","4.171251717","7.07373468","5.705816646","5.517278481"
2010,"ARG","5.726290604","6.460716033","4.23403745","6.587399456","6.126315993","5.222984089"
2009,"ARG","5.961472529","6.439777035","4.257937172","7.026121528","6.409600816","5.673926096"
2008,"ARG","6.010471623","6.264842062","4.286501504","6.895768048","6.759203265","5.846043239"
2007,"ARG","6.182099272","6.902246725","4.197551664","7.105038227","6.753119023","5.952540724"
2006,"ARG","6.077147721","7.456986889","4.163537973","6.169300098","6.664577438","5.931336205"
2005,"ARG","5.981059768","7.531694477","4.223366237","5.443853144","6.418520121","6.287864862"
2004,"ARG","6.256376685","7.993140552","4.152883229","6.194563354","6.739942837","6.201353456"
2003,"ARG","6.129689872","7.950486433","3.833311681","6.001640036","6.824865916","6.038145295"
2002,"ARG","6.241570569","7.789725122","3.606369944","7.010450213","6.96170421","5.839603358"
2001,"ARG","6.791603008","8.019803767","3.822615622","9.450249901","7.231788378","5.433557373"
2000,"ARG","7.218572185","8.001421103","4.757416825","9.709159437","7.451847062","6.173016496"
1995,"ARG","6.78146952","8.418127783","4.789299115","6.573056095","8.419391585","5.704624355"
1990,"ARG","4.215431616","6.250671687","5.29878851","2.499362333","4.044054403","3.030263163"
1985,"ARG","3.145312535","4.712493262","4.004957811","2.498362988","1.398339974","3.276155636"
1980,"ARG","3.785776912","5.504520364","3.687770475","2.497364042","3.821093387","3.388429529"
2017,"ARM","7.691895748","7.401452959","5.863655469","9.475106617","8.203945164","7.51531853"
2016,"ARM","7.644987117","7.384831308","5.809214965","9.521939951","8.157685448","7.351263911"
2015,"ARM","7.669928367","7.525143248","5.777803721","9.481225478","8.222063932","7.343405456"
2014,"ARM","7.769344657","8.080211579","5.560881471","9.358272314","8.388000297","7.459357622"
2013,"ARM","7.740341859","8.312091788","5.613137582","9.176610282","8.079646592","7.520223051"
2012,"ARM","7.730826051","8.551307477","5.779456522","9.341253295","7.336557901","7.645555061"
2011,"ARM","7.692392779","8.636415588","5.816239444","9.148882223","7.385841836","7.474584806"
2010,"ARM","7.56135808","8.206857966","5.55831481","9.179140596","7.612935093","7.249541933"
2009,"ARM","7.54536756","8.376220647","5.547514926","9.437311103","7.635126891","6.730664231"
2008,"ARM","7.634417303","8.881934704","5.60380821","8.882498088","7.648547195","7.15529832"
2007,"ARM","7.508161191","8.152886583","5.711352793","8.980099437","7.529635299","7.166831844"
2006,"ARM","7.513886012","8.080905693","5.624897155","9.432742427","7.275001359","7.155883425"
2005,"ARM","7.380582759","8.070013876","5.559863827","9.209705486","7.07680064","6.986529963"
2004,"ARM","7.368195682","8.176212125","5.108088264","9.114256439","7.298750334","7.143671247"
2003,"ARM","","","","","",""
2002,"ARM","","","","","",""
2001,"ARM","","","","","",""
2000,"ARM","","","","","",""
1995,"ARM","","","","","",""
1990,"ARM","","","","","",""
1985,"ARM","","","","","",""
1980,"ARM","","","","","",""
2017,"AUS","8.071356629","6.959863174","7.922742057","9.458377833","7.562078349","8.453721733"
2016,"AUS","8.062550905","6.969093577","7.919018594","9.452540278","7.526720988","8.445381089"
2015,"AUS","8.028843751","6.768936098","7.994810648","9.36013851","7.586297995","8.434035505"
2014,"AUS","8.050875973","6.741794559","8.022299105","9.264815185","7.706360386","8.519110627"
2013,"AUS","7.943120176","6.872527158","7.874786085","9.252385596","7.564529171","8.151372868"
2012,"AUS","8.046639218","7.177176025","7.766511959","9.51498351","7.71018358","8.064341016"
2011,"AUS","8.100439035","7.197582898","8.005570506","9.406873126","7.661295492","8.230873154"
2010,"AUS","8.121914367","7.170213128","8.085421268","9.472435741","7.519605968","8.361895732"
2009,"AUS","8.08943264","6.736643189","8.108772855","9.623725596","7.514359625","8.463661935"
2008,"AUS","8.191143349","7.27648176","8.177172965","9.42573294","7.472368406","8.603960673"
2007,"AUS","8.283626311","7.319103011","8.410772069","9.501963733","7.542792508","8.643500235"
2006,"AUS","8.250717443","7.25094464","8.426543753","9.462993458","7.504990803","8.608114563"
2005,"AUS","8.188706053","6.940641639","8.479582167","9.440070868","7.481925881","8.601309713"
2004,"AUS","8.025926534","6.749927775","8.137130582","9.355160436","7.489206087","8.398207792"
2003,"AUS","8.058186829","6.775540607","8.276520014","9.275517938","7.622919396","8.340436192"
2002,"AUS","8.038228795","6.782762667","8.380054949","9.20894925","7.591833528","8.227543582"
2001,"AUS","8.024347828","6.742635547","8.419298113","9.332072074","7.802368305","7.8253651"
2000,"AUS","8.105357585","6.815197002","8.530601978","9.402096333","7.811403922","7.96748869"
1995,"AUS","7.823778936","6.225075496","8.053841356","9.398644444","7.757822524","7.68993472"
1990,"AUS","7.419679938","5.863295897","7.060410282","9.147831677","7.380068431","7.663789185"
1985,"AUS","7.026174892","4.833615404","7.076535277","9.35183743","6.529014603","7.324980911"
1980,"AUS","6.721030304","5.559367997","6.521737358","8.994738592","5.530778822","7.227976121"
2017,"AUT","7.693752563","5.660971828","7.93387161","9.4198292","8.093257051","7.360833125"
2016,"AUT","7.668780916","5.605342666","7.915986905","9.432829777","8.106732583","7.283012651"
2015,"AUT","7.726566947","5.582762962","8.015541357","9.616600404","8.12194709","7.295982922"
2014,"AUT","7.761337016","5.619426888","8.055605646","9.612099277","8.322105789","7.197447479"
2013,"AUT","7.713955982","5.627542223","8.002759788","9.628044927","7.815871955","7.495561016"
2012,"AUT","7.706381448","5.725832857","7.994640289","9.537677971","7.783021476","7.490734646"
2011,"AUT","7.736194225","5.737061421","8.004959015","9.585767272","7.840464427","7.512718989"
2010,"AUT","7.719780589","5.444711957","8.080429014","9.642062233","7.905210008","7.526489733"
