"iso3c","value","year"
"FIN","42.0",2010
"ISL","34.8",2010
"IRL","34.4",2010
"LVA","40.8",2010
"LTU","40.6",2010
"NOR","38.7",2010
"SWE","40.7",2010
"GBR","39.5",2010
"ALB","32.2",2010
"BIH","38.9",2010
"HRV","41.7",2010
"GRC","41.1",2010
"ITA","43.5",2010
"MLT","40.2",2010
"MNE","36.4",2010
"MKD","35.7",2010
"PRT","41.6",2010
"SRB","38.7",2010
"SVN","41.6",2010
"ESP","40.0",2010
"AUT","41.9",2010
"BEL","40.9",2010
"FRA","40.1",2010
"DEU","44.3",2010
"LUX","38.9",2010
"NLD","40.8",2010
"CHE","41.6",2010
"CAN","39.6",2010
"USA","36.9",2010
"BDI","17.1",2015
"COM","19.7",2015
"DJI","25.0",2015
"ERI","19.2",2015
"ETH","18.3",2015
"KEN","18.9",2015
"MDG","18.7",2015
"MWI","17.2",2015
"MUS","35.6",2015
"MYT","19.0",2015
"MOZ","17.1",2015
"REU","34.5",2015
"RWA","19.4",2015
"SYC","32.8",2015
"SOM","16.2",2015
"SSD","18.4",2015
"UGA","15.9",2015
"TZA","17.6",2015
"ZMB","16.7",2015
"ZWE","18.4",2015
"AGO","16.4",2015
"CMR","18.2",2015
"CAF","17.1",2015
"TCD","16.0",2015
"COG","18.9",2015
"COD","16.8",2015
"GNQ","22.1",2015
"GAB","22.3",2015
"STP","18.3",2015
"BWA","23.0",2015
"SWZ","19.7",2015
"LSO","23.0",2015
"NAM","21.1",2015
"ZAF","26.4",2015
"BEN","18.2",2015
"BFA","17.0",2015
"CPV","25.1",2015
"CIV","18.3",2015
"GMB","17.5",2015
"GHA","20.7",2015
"GIN","17.1",2015
"GNB","18.4",2015
"LBR","18.8",2015
"MLI","16.0",2015
"MRT","19.6",2015
"NER","14.9",2015
"NGA","17.9",2015
"SEN","18.1",2015
"SLE","18.7",2015
"TGO","18.8",2015
"DZA","27.5",2015
"EGY","24.3",2015
"LBY","27.1",2015
"MAR","27.9",2015
"SDN","18.9",2015
"TUN","31.3",2015
"ESH","26.8",2015
"ARM","33.8",2015
"AZE","30.3",2015
"BHR","31.2",2015
"CYP","34.9",2015
"GEO","37.7",2015
"IRQ","20.0",2015
"ISR","30.2",2015
"JOR","22.1",2015
"KWT","33.5",2015
"LBN","27.6",2015
"OMN","29.0",2015
"QAT","31.5",2015
"SAU","30.0",2015
"PSE","19.5",2015
"SYR","23.6",2015
"TUR","29.9",2015
"ARE","32.6",2015
"YEM","19.1",2015
"KAZ","29.4",2015
"KGZ","25.1",2015
"TJK","22.0",2015
"TKM","25.6",2015
"UZB","26.2",2015
"AFG","17.2",2015
"BGD","25.7",2015
"BTN","25.7",2015
"IND","26.8",2015
"IRN","29.7",2015
"MDV","28.6",2015
"NPL","22.2",2015
"PAK","21.8",2015
"LKA","32.3",2015
"CHN","36.7",2015
"HKG","43.2",2015
"MAC","37.5",2015
"PRK","34.1",2015
"JPN","46.4",2015
"MNG","27.1",2015
"KOR","40.8",2015
"BRN","29.9",2015
"KHM","24.0",2015
"IDN","28.5",2015
"LAO","22.8",2015
"MYS","28.2",2015
"MMR","27.5",2015
"PHL","24.1",2015
"SGP","39.7",2015
"THA","37.9",2015
"TLS","19.6",2015
"VNM","30.5",2015
"ATG","32.6",2015
"ABW","40.1",2015
"BHS","30.9",2015
"BRB","39.0",2015
"CUB","40.8",2015
"CUW","40.9",2015
"DOM","26.5",2015
"GRD","30.6",2015
"GLP","41.9",2015
"HTI","22.7",2015
"JAM","29.0",2015
"MTQ","45.0",2015
"PRI","38.0",2015
"LCA","32.4",2015
"VCT","31.6",2015
"TTO","33.8",2015
"VIR","41.3",2015
"BLZ","23.7",2015
"CRI","31.2",2015
"SLV","25.7",2015
"GTM","21.3",2015
"HND","22.5",2015
"MEX","27.7",2015
"NIC","24.6",2015
"PAN","28.4",2015
"ARG","30.5",2015
"BOL","24.1",2015
"BRA","31.4",2015
"CHL","33.8",2015
"COL","29.5",2015
"ECU","26.5",2015
"GUF","24.8",2015
"GUY","25.0",2015
"PRY","24.7",2015
"PER","27.5",2015
"SUR","27.9",2015
"URY","35.0",2015
"VEN","27.3",2015
"AUS","37.2",2015
"NZL","37.3",2015
"FJI","27.0",2015
"NCL","32.0",2015
"PNG","21.5",2015
"SLB","19.6",2015
"VUT","20.8",2015
"GUM","30.1",2015
"KIR","22.3",2015
"FSM","22.8",2015
"PYF","31.5",2015
"WSM","20.9",2015
"TON","21.9",2015
"BLR","39.5",2015
"BGR","43.4",2015
"CZE","41.4",2015
"HUN","41.7",2015
"POL","39.7",2015
"MDA","35.6",2015
"ROU","41.3",2015
"RUS","38.6",2015
"SVK","39.2",2015
"UKR","40.0",2015
"DNK","41.6",2015
"EST","41.6",2015
"FIN","42.5",2015
"ISL","36.0",2015
"IRL","36.5",2015
"LVA","42.6",2015
"LTU","42.7",2015
"NOR","39.2",2015
"SWE","40.9",2015
"GBR","40.0",2015
"ALB","34.9",2015
"BIH","40.7",2015
"HRV","43.1",2015
"GRC","43.4",2015
"ITA","45.4",2015
"MLT","41.1",2015
"MNE","37.7",2015
"MKD","37.4",2015
"PRT","43.9",2015
"SRB","40.5",2015
"SVN","43.0",2015
"ESP","42.5",2015
"AUT","43.2",2015
"BEL","41.3",2015
"FRA","41.2",2015
"DEU","45.9",2015
"LUX","39.3",2015
"NLD","42.1",2015
"CHE","42.2",2015
"CAN","40.4",2015
"USA","37.6",2015
"BDI","17.3",2020
"COM","20.4",2020
"DJI","26.6",2020
"ERI","19.2",2020
"ETH","19.5",2020
"KEN","20.1",2020
"MDG","19.6",2020
"MWI","18.1",2020
"MUS","37.5",2020
"MYT","20.1",2020
"MOZ","17.6",2020
"REU","35.9",2020
"RWA","20.0",2020
"SYC","34.2",2020
"SOM","16.7",2020
"SSD","19.0",2020
"UGA","16.7",2020
"TZA","18.0",2020
"ZMB","17.6",2020
"ZWE","18.7",2020
"AGO","16.7",2020
"CMR","18.7",2020
"CAF","17.6",2020
"TCD","16.6",2020
"COG","19.2",2020
"COD","17.0",2020
"GNQ","22.3",2020
"GAB","22.5",2020
"STP","18.6",2020
"BWA","24.0",2020
"SWZ","20.7",2020
"LSO","24.0",2020
"NAM","21.8",2020
"ZAF","27.6",2020
"BEN","18.8",2020
"BFA","17.6",2020
"CPV","27.6",2020
"CIV","18.9",2020
"GMB","17.8",2020
"GHA","21.5",2020
"GIN","18.0",2020
"GNB","18.8",2020
"LBR","19.4",2020
"MLI","16.3",2020
"MRT","20.1",2020
"NER","15.2",2020
"NGA","18.1",2020
"SEN","18.5",2020
"SLE","19.4",2020
"TGO","19.4",2020
"DZA","28.5",2020
"EGY","24.6",2020
"LBY","28.8",2020
"MAR","29.5",2020
"SDN","19.7",2020
"TUN","32.8",2020
"ESH","28.4",2020
"ARM","35.4",2020
"AZE","32.3",2020
"BHR","32.5",2020
"CYP","37.3",2020
"GEO","38.3",2020
"IRQ","21.0",2020
"ISR","30.5",2020
"JOR","23.8",2020
"KWT","36.8",2020
"LBN","29.6",2020
"OMN","30.6",2020
"QAT","32.3",2020
"SAU","31.8",2020
"PSE","20.8",2020
"SYR","25.6",2020
"TUR","31.5",2020
"ARE","32.6",2020
"YEM","20.2",2020
"KAZ","30.7",2020
"KGZ","26.0",2020
"TJK","22.4",2020
"TKM","26.9",2020
"UZB","27.8",2020
"AFG","18.4",2020
"BGD","27.6",2020
"BTN","28.1",2020
"IND","28.4",2020
"IRN","32.0",2020
"MDV","29.9",2020
"NPL","24.6",2020
"PAK","22.8",2020
"LKA","34.0",2020
"CHN","38.4",2020
"HKG","44.8",2020
"MAC","39.3",2020
"PRK","35.3",2020
"JPN","48.4",2020
"MNG","28.2",2020
"KOR","43.7",2020
"BRN","32.3",2020
"KHM","25.6",2020
"IDN","29.7",2020
"LAO","24.4",2020
"MYS","30.3",2020
"MMR","29.0",2020
"PHL","25.7",2020
"SGP","42.2",2020
"THA","40.1",2020
"TLS","20.8",2020
"VNM","32.5",2020
"ATG","34.0",2020
"ABW","41.0",2020
"BHS","32.3",2020
"BRB","40.5",2020
"CUB","42.2",2020
"CUW","41.6",2020
"DOM","28.0",2020
"GRD","32.0",2020
"GLP","43.7",2020
"HTI","24.0",2020
"JAM","30.7",2020
"MTQ","47.0",2020
"PRI","44.5",2020
"LCA","34.5",2020
"VCT","32.9",2020
"TTO","36.2",2020
"VIR","42.6",2020
"BLZ","25.5",2020
"CRI","33.5",2020
"SLV","27.6",2020
"GTM","22.9",2020
"HND","24.3",2020
"MEX","29.2",2020
"NIC","26.5",2020
"PAN","29.7",2020
"ARG","31.5",2020
"BOL","25.6",2020
"BRA","33.5",2020
"CHL","35.3",2020
"COL","31.3",2020
"ECU","27.9",2020
"GUF","25.1",2020
"GUY","26.7",2020
"PRY","26.3",2020
"PER","31.0",2020
"SUR","29.0",2020
"URY","35.8",2020
"VEN","29.6",2020
"AUS","37.9",2020
"NZL","38.0",2020
"FJI","27.9",2020
"NCL","33.6",2020
"PNG","22.4",2020
"SLB","19.9",2020
"VUT","21.1",2020
"GUM","31.4",2020
"KIR","23.0",2020
"FSM","24.4",2020
"PYF","33.6",2020
"WSM","21.8",2020
"TON","22.4",2020
"BLR","40.3",2020
"BGR","44.6",2020
"CZE","43.2",2020
"HUN","43.3",2020
"POL","41.7",2020
"MDA","37.6",2020
"ROU","43.2",2020
"RUS","39.6",2020
"SVK","41.2",2020
"UKR","41.2",2020
"DNK","42.3",2020
"EST","42.4",2020
"FIN","43.1",2020
"ISL","37.5",2020
"IRL","38.2",2020
"LVA","43.9",2020
"LTU","45.1",2020
"NOR","39.8",2020
"SWE","41.1",2020
"GBR","40.5",2020
"ALB","36.4",2020
"BIH","43.1",2020
"HRV","44.3",2020
"GRC","45.6",2020
"ITA","47.3",2020
"MLT","42.6",2020
"MNE","38.8",2020
"MKD","39.1",2020
"PRT","46.2",2020
"SRB","41.6",2020
"SVN","44.5",2020
"ESP","44.9",2020
"AUT","43.5",2020
"BEL","41.9",2020
"FRA","42.3",2020
"DEU","45.7",2020
"LUX","39.7",2020
"NLD","43.3",2020
"CHE","43.1",2020
"CAN","41.1",2020
"USA","38.3",2020
