"iso3c","value","year"
"OMN","17.9",1990
"QAT","28.7",1990
"SAU","19.5",1990
"PSE","15.7",1990
"SYR","16.3",1990
"TUR","22.1",1990
"ARE","26.6",1990
"YEM","14.4",1990
"KAZ","26.0",1990
"KGZ","21.8",1990
"TJK","18.1",1990
"TKM","19.6",1990
"UZB","19.6",1990
"AFG","15.8",1990
"BGD","18.6",1990
"BTN","18.1",1990
"IND","21.1",1990
"IRN","17.2",1990
"MDV","16.2",1990
"NPL","18.7",1990
"PAK","18.5",1990
"LKA","24.2",1990
"CHN","24.9",1990
"HKG","31.0",1990
"MAC","28.9",1990
"PRK","25.0",1990
"JPN","37.3",1990
"MNG","19.3",1990
"KOR","27.0",1990
"BRN","23.1",1990
"KHM","17.9",1990
"IDN","21.3",1990
"LAO","17.6",1990
"MYS","21.6",1990
"MMR","20.7",1990
"PHL","19.2",1990
"SGP","29.3",1990
"THA","24.3",1990
"TLS","20.6",1990
"VNM","21.1",1990
"ATG","25.2",1990
"ABW","31.2",1990
"BHS","23.6",1990
"BRB","28.4",1990
"CUB","27.7",1990
"CUW","28.6",1990
"DOM","20.3",1990
"GRD","20.4",1990
"GLP","27.8",1990
"HTI","18.5",1990
"JAM","22.2",1990
"MTQ","28.3",1990
"PRI","28.6",1990
"LCA","21.4",1990
"VCT","20.4",1990
"TTO","24.1",1990
"VIR","28.3",1990
"BLZ","17.9",1990
"CRI","23.0",1990
"SLV","19.6",1990
"GTM","16.9",1990
"HND","16.9",1990
"MEX","19.7",1990
"NIC","16.9",1990
"PAN","21.7",1990
"ARG","27.0",1990
"BOL","20.0",1990
"BRA","22.6",1990
"CHL","25.7",1990
"COL","21.9",1990
"ECU","20.5",1990
"GUF","24.1",1990
"GUY","21.1",1990
"PRY","19.3",1990
"PER","20.1",1990
"SUR","22.6",1990
"URY","30.7",1990
"VEN","20.9",1990
"AUS","32.1",1990
"NZL","31.1",1990
"FJI","20.9",1990
"NCL","23.3",1990
"PNG","18.7",1990
"SLB","17.0",1990
"VUT","18.1",1990
"GUM","25.2",1990
"KIR","20.4",1990
"FSM","17.6",1990
"PYF","22.0",1990
"WSM","18.7",1990
"TON","19.7",1990
"BLR","33.1",1990
"BGR","36.5",1990
"CZE","35.3",1990
"HUN","36.4",1990
"POL","32.2",1990
"MDA","29.9",1990
"ROU","32.6",1990
"RUS","33.4",1990
"SVK","31.2",1990
"UKR","35.3",1990
"DNK","37.1",1990
"EST","34.4",1990
"FIN","36.4",1990
"ISL","30.0",1990
"IRL","28.4",1990
"LVA","34.7",1990
"LTU","32.7",1990
"NOR","35.4",1990
"SWE","38.4",1990
"GBR","35.8",1990
"ALB","24.0",1990
"BIH","29.8",1990
"HRV","35.8",1990
"GRC","35.1",1990
"ITA","37.0",1990
"MLT","33.1",1990
"MNE","29.8",1990
"MKD","29.2",1990
"PRT","34.2",1990
"SRB","33.2",1990
"SVN","34.2",1990
"ESP","33.4",1990
"AUT","36.5",1990
"BEL","36.5",1990
"FRA","34.8",1990
"DEU","37.6",1990
"LUX","36.4",1990
"NLD","34.6",1990
"CHE","36.9",1990
"CAN","32.9",1990
"USA","32.8",1990
"BDI","14.9",1995
"COM","17.1",1995
"DJI","18.1",1995
"ERI","15.6",1995
"ETH","16.7",1995
"KEN","16.4",1995
"MDG","17.2",1995
"MWI","17.4",1995
"MUS","26.8",1995
"MYT","17.0",1995
"MOZ","17.7",1995
"REU","26.1",1995
"RWA","18.3",1995
"SYC","24.5",1995
"SOM","17.3",1995
"SSD","17.7",1995
"UGA","15.5",1995
"TZA","17.2",1995
"ZMB","16.4",1995
"ZWE","17.6",1995
"AGO","16.1",1995
"CMR","16.8",1995
"CAF","18.2",1995
"TCD","15.8",1995
"COG","18.0",1995
"COD","17.2",1995
"GNQ","18.9",1995
"GAB","19.0",1995
"STP","16.3",1995
"BWA","18.3",1995
"SWZ","16.6",1995
"LSO","18.2",1995
"NAM","18.0",1995
"ZAF","21.3",1995
"BEN","17.2",1995
"BFA","16.3",1995
"CPV","17.1",1995
"CIV","17.8",1995
"GMB","17.1",1995
"GHA","18.1",1995
"GIN","17.0",1995
"GNB","16.8",1995
"LBR","18.0",1995
"MLI","16.5",1995
"MRT","17.6",1995
"NER","16.0",1995
"NGA","17.7",1995
"SEN","16.9",1995
"SLE","17.7",1995
"TGO","17.1",1995
"DZA","19.4",1995
"EGY","20.2",1995
"LBY","20.2",1995
"MAR","21.1",1995
"SDN","17.7",1995
"TUN","23.1",1995
"ESH","21.2",1995
"ARM","29.4",1995
"AZE","24.6",1995
"BHR","26.4",1995
"CYP","31.0",1995
"GEO","32.8",1995
"IRQ","17.5",1995
"ISR","27.3",1995
"JOR","19.1",1995
"KWT","26.6",1995
"LBN","23.2",1995
"OMN","20.9",1995
"QAT","29.0",1995
"SAU","19.4",1995
"PSE","15.7",1995
"SYR","17.5",1995
"TUR","23.5",1995
"ARE","27.7",1995
"YEM","14.9",1995
"KAZ","27.1",1995
"KGZ","21.6",1995
"TJK","17.8",1995
"TKM","20.1",1995
"UZB","19.8",1995
"AFG","16.0",1995
"BGD","19.6",1995
"BTN","18.4",1995
"IND","21.8",1995
"IRN","18.6",1995
"MDV","16.7",1995
"NPL","19.0",1995
"PAK","18.4",1995
"LKA","25.8",1995
"CHN","27.4",1995
"HKG","34.0",1995
"MAC","31.1",1995
"PRK","27.3",1995
"JPN","39.4",1995
"MNG","20.3",1995
"KOR","29.3",1995
"BRN","24.0",1995
"KHM","17.3",1995
"IDN","22.8",1995
"LAO","17.6",1995
"MYS","22.5",1995
"MMR","22.0",1995
"PHL","19.8",1995
"SGP","32.4",1995
"THA","26.6",1995
"TLS","20.4",1995
"VNM","22.3",1995
"ATG","26.5",1995
"ABW","32.5",1995
"BHS","25.0",1995
"BRB","31.2",1995
"CUB","30.2",1995
"CUW","31.9",1995
"DOM","21.4",1995
"GRD","22.1",1995
"GLP","30.4",1995
"HTI","18.5",1995
"JAM","23.5",1995
"MTQ","31.4",1995
"PRI","30.4",1995
"LCA","23.1",1995
"VCT","22.3",1995
"TTO","25.7",1995
"VIR","30.8",1995
"BLZ","18.4",1995
"CRI","24.1",1995
"SLV","20.9",1995
"GTM","17.2",1995
"HND","17.5",1995
"MEX","21.3",1995
"NIC","17.9",1995
"PAN","23.1",1995
"ARG","27.1",1995
"BOL","20.5",1995
"BRA","23.9",1995
"CHL","27.0",1995
"COL","22.9",1995
"ECU","21.6",1995
"GUF","23.9",1995
"GUY","21.7",1995
"PRY","19.6",1995
"PER","21.2",1995
"SUR","23.6",1995
"URY","31.1",1995
"VEN","22.0",1995
"AUS","33.6",1995
"NZL","32.6",1995
"FJI","21.6",1995
"NCL","25.3",1995
"PNG","19.3",1995
"SLB","17.9",1995
"VUT","18.5",1995
"GUM","26.3",1995
"KIR","19.6",1995
"FSM","17.7",1995
"PYF","23.5",1995
"WSM","19.1",1995
"TON","19.8",1995
"BLR","34.7",1995
"BGR","38.2",1995
"CZE","36.1",1995
"HUN","37.5",1995
"POL","33.6",1995
"MDA","30.8",1995
"ROU","33.9",1995
"RUS","35.0",1995
"SVK","32.4",1995
"UKR","36.4",1995
"DNK","37.7",1995
"EST","36.4",1995
"FIN","37.8",1995
"ISL","31.5",1995
"IRL","30.1",1995
"LVA","36.2",1995
"LTU","34.0",1995
"NOR","36.1",1995
"SWE","38.5",1995
"GBR","36.5",1995
"ALB","24.6",1995
"BIH","33.1",1995
"HRV","37.9",1995
"GRC","36.5",1995
"ITA","38.7",1995
"MLT","35.0",1995
"MNE","32.2",1995
"MKD","30.7",1995
"PRT","36.0",1995
"SRB","34.1",1995
"SVN","36.2",1995
"ESP","35.5",1995
"AUT","36.3",1995
"BEL","37.6",1995
"FRA","36.2",1995
"DEU","38.4",1995
