"iso3c","year","meanwage.ILO"
"SRB",2009,689.94
"SRB",2010,690.94
"SRB",2014,694.57
"SRB",2015,717.31
"SRB",2016,728.56
"SVK",2009,1351.73
"SVK",2010,1469.6
"SVK",2011,1513.82
"SVK",2012,1559.35
"SVK",2013,1658.35
"SVK",2014,1769.9
"SVK",2015,1812.85
"SVK",2016,1927.94
"SVN",1997,293881.2
"SVN",1998,305633.38
"SVN",1999,320763.49
"SVN",2000,340737.62
"SVN",2001,359479.35
"SVN",2002,378576.55
"SVN",2003,392100.99
"SVN",2004,409351.55
"SVN",2005,418569.09
"SVN",2006,435728.1
"SVN",2007,1877.34
"SVN",2008,2026.45
"SWE",1993,9.91
"SWE",2014,3568.92
"SWZ",2016,875.61
"SYC",1990,448.94
"SYC",1991,472.35
"SYC",1992,538.78
"SYC",1993,565.37
"SYC",1994,576.9
"SYC",1995,629.69
"SYC",1996,661.64
"SYC",1997,681.4
"SYC",1998,717.96
"SYC",1999,710.94
"SYC",2000,706.17
"SYC",2001,700.39
"SYC",2002,720.23
"SYC",2003,741.43
"SYC",2004,754.37
"SYC",2005,781.71
"SYC",2006,850.38
"SYC",2007,846.7
"SYC",2008,742.64
"SYC",2009,720.41
"SYC",2010,879.85
"SYC",2011,1004.16
"SYC",2012,1052.74
"SYR",2005,436.56
"SYR",2006,460.8
"SYR",2007,473.12
"SYR",2008,500
"SYR",2009,505.68
"SYR",2010,503.33
"TGO",2011,490.55
"TGO",2014,727.96
"TGO",2015,644.49
"THA",2011,805.02
"THA",2012,862.74
"THA",2013,1087.02
"THA",2014,1096.39
"THA",2015,857.18
"THA",2016,1155.85
"TJK",2000,25.1
"TJK",2001,28.11
"TJK",2002,35.24
"TJK",2003,42.47
"TJK",2004,56.39
"TJK",2005,73.63
"TJK",2006,96.12
"TJK",2007,122.68
"TJK",2008,149.92
"TJK",2009,172.39
"TJK",2010,205.17
"TJK",2011,234.83
"TJK",2012,284.47
"TJK",2013,344.02
"TJK",2014,386.99
"TJK",2015,394.66
"TJK",2016,412.6
"TLS",2010,341.63
"TLS",2013,1056.42
"TLS",2016,492.99
"TON",1990,333.29
"TON",1994,457.8
"TTO",2011,1047.2
"TTO",2012,1007.3
"TTO",2013,1002.32
"TTO",2014,1019.25
"TTO",2015,997.7
"TTO",2016,1015.04
"TUR",2014,1614.64
"TZA",2001,165.9
"TZA",2006,270.89
"TZA",2011,629.51
"TZA",2012,535.99
"TZA",2014,411.89
"UGA",2009,301.86
"UGA",2012,254.05
"UKR",1995,169.17
"UKR",1996,165.5
"UKR",1997,166.17
"UKR",1998,163.7
"UKR",1999,157.67
"UKR",2000,164.82
"UKR",2007,644.44
"UKR",2008,714.43
"UKR",2009,648.23
"UKR",2010,707.64
"UKR",2011,795.17
"UKR",2012,927.5
"UKR",2013,1017.84
"UKR",2014,983.71
"UKR",2015,798.41
"UKR",2016,876.89
"URY",1996,17.56
"URY",1998,723.63
"URY",1999,757.66
"URY",2000,767.58
"URY",2001,754.81
"URY",2002,681.17
"URY",2003,598.55
"URY",2004,611.11
"URY",2005,638.69
"URY",2006,712.7
"URY",2007,763.07
"URY",2008,824.14
"URY",2009,887.33
"URY",2010,894.57
"URY",2011,988.59
"URY",2012,1033.69
"URY",2013,1085.85
"URY",2014,1150.29
"URY",2015,1168.47
"URY",2016,1107.33
"USA",1990,1495.37
"USA",1991,1532.73
"USA",1992,1574.43
"USA",1993,1617.86
"USA",1994,1670.77
"USA",1995,1707.49
"USA",1996,1760.62
"USA",1997,1839.77
"USA",1998,1914.68
"USA",1999,1977.86
"USA",2000,2055.54
"USA",2001,2120.57
"USA",2002,2180.85
"USA",2009,4407.94
"USA",2010,4416.6
"UZB",2011,987.9
"VEN",2008,750.28
"VEN",2009,749.89
"VEN",2010,747.47
"VEN",2011,752.65
"VEN",2012,814.09
"VNM",2007,295.33
"VNM",2009,85.14
"VNM",2010,380
"VNM",2011,409.73
"VNM",2012,461.08
"VNM",2013,478.79
"VNM",2014,506.77
"VNM",2015,576.77
"VNM",2016,606.11
"WSM",2012,746.86
"YEM",2010,506.63
"YEM",2014,649.28
"ZAF",1996,1086.19
"ZAF",1997,1133.8
"ZAF",1998,1177
"ZAF",1999,1234.46
"ZAF",2000,1321.64
"ZAF",2001,1408.59
"ZAF",2002,1447.4
"ZAF",2003,1292.25
"ZAF",2004,1384.96
"ZAF",2005,1691.1
"ZAF",2006,1839.92
"ZAF",2007,1943.28
"ZAF",2008,2044.75
"ZAF",2011,2601.54
"ZAF",2012,2808.08
"ZAF",2013,3272.73
"ZAF",2015,1135.71
"ZWE",2011,430.23
"ZWE",2015,1462.33
