"iso3c","year","meanwage.ILO"
"CHN",2016,1476.81
"CIV",2012,328.9
"CIV",2013,483.34
"CMR",2014,584.89
"COD",2005,43.52
"COL",1991,434.31
"COL",1992,429.46
"COL",1993,518.91
"COL",1994,556.13
"COL",1995,528.16
"COL",1996,569.03
"COL",1997,607.63
"COL",1998,653.66
"COL",1999,616.23
"COL",2002,364.27
"COL",2003,404.92
"COL",2004,597.56
"COL",2005,637.72
"COL",2006,635.12
"COL",2007,597.32
"COL",2010,718.79
"COL",2011,742.38
"COL",2012,758.69
"COL",2013,806.04
"COL",2014,844.56
"COL",2015,809.14
"COL",2016,811.1
"COM",2004,667.2
"CPV",2015,685.91
"CRI",1990,439.97
"CRI",1991,437.63
"CRI",1992,469.46
"CRI",1993,532.78
"CRI",1994,566.92
"CRI",1995,571.39
"CRI",1996,582.42
"CRI",1997,601.57
"CRI",1998,622.79
"CRI",1999,639.23
"CRI",2000,664.36
"CRI",2001,762.89
"CRI",2004,766.11
"CRI",2005,1609.66
"CRI",2008,1918.86
"CRI",2010,1109.43
"CRI",2011,1139.09
"CRI",2012,1236.87
"CRI",2013,1298.01
"CRI",2014,1297.13
"CRI",2015,1319.26
"CRI",2016,1351.75
"CYP",2009,2512.49
"CYP",2010,2528.36
"CYP",2011,2599.25
"CYP",2013,2600.78
"CYP",2014,2582.42
"CYP",2015,218.48
"CYP",2016,2679.42
"CZE",1993,529.57
"CZE",1994,583.36
"CZE",1995,644.31
"CZE",1996,622.08
"CZE",1997,747.69
"CZE",1998,771.74
"CZE",1999,833.48
"CZE",2000,882.03
"CZE",2001,975.41
"CZE",2002,1015.52
"CZE",2003,1100.53
"CZE",2004,1166.58
"CZE",2005,1230.92
"CZE",2006,1296.95
"CZE",2007,1407.24
"CZE",2008,1486.57
"CZE",2009,1581.7
"CZE",2010,1812.68
"CZE",2011,1755.82
"CZE",2012,1776.76
"CZE",2013,1845.85
"CZE",2014,1924.26
"CZE",2015,1960.08
"CZE",2016,2056.76
"DEU",2009,4003.1
"DEU",2010,4154.99
"DEU",2011,4407.68
"DEU",2012,4511.78
"DEU",2013,4588.33
"DEU",2014,4735.25
"DEU",2015,4777.21
"DEU",2016,4959.98
"DNK",2014,3774.78
"DOM",2000,591.91
"DOM",2001,606.68
"DOM",2002,593.49
"DOM",2003,515.84
"DOM",2004,427.64
"DOM",2005,486.91
"DOM",2006,513.1
"DOM",2007,534.08
"DOM",2008,558.79
"DOM",2009,587.16
"DOM",2010,578.46
