"year","iso3c","PrEdu","SecEdu","TerEdu"
2015,"CAF",21.1,11.9,0.9
1980,"CAN",8.79,20.3,14.93
1985,"CAN",6.79,24.72,8.14
1990,"CAN",5.37,27.25,9.93
1995,"CAN",4.97,29.42,11.54
2000,"CAN",3.58,30.19,13.89
2005,"CAN",2.7,32.11,20.47
2010,"CAN",2.24,31.79,22.67
2015,"CAN",0.9,36.3,26.3
1980,"CHE",20,46.6,6.07
1985,"CHE",19.48,37.93,7.23
1990,"CHE",19,35.08,8.77
1995,"CHE",18.84,33.32,9.83
2000,"CHE",19.96,33.26,10.02
2005,"CHE",15.92,36.22,12.8
2010,"CHE",2.49,48.33,17.88
2015,"CHE",1.9,49.2,17
1980,"CHL",26.89,16.53,2.68
1985,"CHL",25.12,21.65,4.44
1990,"CHL",22.95,28.51,6.23
1995,"CHL",18.43,28.21,7.54
2000,"CHL",12.97,28.55,8.33
2005,"CHL",11.7,34.07,7.43
2010,"CHL",8.27,38.13,5.92
2015,"CHL",5.7,47.2,6.5
1980,"CHN",21.29,9.35,0.48
1985,"CHN",21.29,14.28,0.76
1990,"CHN",19.89,19.88,1.08
1995,"CHN",19.38,25.21,1.92
2000,"CHN",18.33,27.53,2.75
2005,"CHN",16.75,26.86,2.84
2010,"CHN",14.81,22.85,2.71
2015,"CHN",10.2,27.2,4.3
1980,"CIV",5.57,3.14,0.83
1985,"CIV",6.81,3.57,0.98
1990,"CIV",8.17,4.19,0.85
1995,"CIV",13.34,4.29,1.63
2000,"CIV",18.46,4.92,2.08
2005,"CIV",21.44,6.21,2.11
2010,"CIV",24.38,8.09,2.13
2015,"CIV",26.7,12.6,2.3
1980,"CMR",17.8,5.05,0.18
1985,"CMR",21.32,6.77,0.28
1990,"CMR",24.89,8.71,0.45
1995,"CMR",28.06,10.6,0.64
2000,"CMR",30.16,12.17,0.8
2005,"CMR",31.13,13.46,1.15
2010,"CMR",31.25,15.28,1.64
2015,"CMR",34,18.7,2.1
1980,"COD",4.32,3.95,0.26
1985,"COD",4.42,7.36,0.37
1990,"COD",5.06,9.22,0.51
1995,"COD",5.9,9.79,0.65
2000,"COD",6.3,10.09,0.59
2005,"COD",6.88,11.03,0.5
2010,"COD",7.17,12.56,0.46
2015,"COD",8.3,15.5,0.6
1980,"COG",9.2,6.71,1.09
1985,"COG",8.21,8.33,1.09
1990,"COG",6.95,8.42,1.1
1995,"COG",7.15,8.82,1.14
2000,"COG",7.85,7.9,0.96
2005,"COG",7.54,7.17,0.79
2010,"COG",6.37,6.64,0.64
2015,"COG",5.7,6.5,0.6
1980,"COL",20.12,5.59,4.07
1985,"COL",20.67,7.42,5.54
1990,"COL",19.87,9.66,7.37
1995,"COL",18.28,14.01,8.61
2000,"COL",24.6,20.34,8.66
2005,"COL",28.99,29.17,6.6
2010,"COL",29.47,24.99,18.55
2015,"COL",22,29.9,20.4
1980,"CRI",33.96,9.09,5.5
1985,"CRI",36.72,11.17,7.39
1990,"CRI",37.96,12.36,9.71
1995,"CRI",36.04,13.56,11.94
2000,"CRI",33.55,15.76,12.39
2005,"CRI",28.04,18.78,12.56
2010,"CRI",34.08,18.86,14.69
2015,"CRI",31.7,26,15.7
1980,"CUB",22.1,21.56,3.51
1985,"CUB",20.03,22.94,3.64
1990,"CUB",15.83,26.42,4.4
1995,"CUB",12.53,29.34,5.28
2000,"CUB",10.13,31.07,5.59
2005,"CUB",9.11,31,8.32
2010,"CUB",8.16,29.48,13.32
2015,"CUB",5.7,30.8,18.1
1980,"CYP",30.99,23.13,5.79
1985,"CYP",30,26.58,8.7
1990,"CYP",27.77,28.65,11.57
1995,"CYP",21.01,30.7,14.6
2000,"CYP",17.02,33.29,15.89
2005,"CYP",17.54,30.59,14.51
2010,"CYP",15.53,35.05,20.75
2015,"CYP",9.3,40.3,26.1
1980,"CZE",34.46,27.69,2.71
1985,"CZE",32.8,28.5,4.84
