"iso3c","year","corr","burreau","demAcc","lawOrder"
"ARM",1994,NA,NA,NA,NA
"ARM",1995,NA,NA,NA,NA
"ARM",1996,NA,NA,NA,NA
"ARM",1997,NA,NA,NA,NA
"ARM",1998,NA,NA,NA,NA
"ARM",1999,"2","1","4","3.16666666666667"
"ARM",2000,"2","1","4","3"
"ARM",2001,"1.95833333333333","1","4","3"
"ARM",2002,"1.5","1","4","3"
"ARM",2003,"1.5","1","2.5","3"
"ARM",2004,"1.5","1","2.5","3"
"ARM",2005,"1.5","1","2.79166666666667","3"
"ARM",2006,"1.5","1","3","3"
"ARM",2007,"1.50","1.00","3.29","3.00"
"ARM",2008,"1.5","1","2.25","3"
"ARM",2009,"1.5","1","2.5","3"
"ARM",2010,"1.5","1","2.5","3"
"ARM",2011,"1.5","1","2.5","3"
"ARM",2012,"1.5","1","2.5","3"
"ARM",2013,"1.5","1","2.5","3"
"ARM",2014,"1.54166666666667","1","2.5","3"
"ARM",2015,"2","1","2.5","3"
"ARM",2016,"2","1","2.5","3"
"ARM",2017,"2","1","2.5","3"
"AUS",1984,"5","4","6","6"
"AUS",1985,"5","4","6","6"
"AUS",1986,"5","4","6","6"
"AUS",1987,"5","4","6","6"
"AUS",1988,"5","4","6","6"
"AUS",1989,"5","4","6","6"
"AUS",1990,"5","4","6","6"
"AUS",1991,"5","4","6","6"
"AUS",1992,"5","4","6","6"
"AUS",1993,"5","4","6","6"
"AUS",1994,"5","4","6","6"
"AUS",1995,"5","4","6","6"
"AUS",1996,"5","4","6","6"
"AUS",1997,"5","4","6","6"
"AUS",1998,"5","4","6","6"
"AUS",1999,"5","4","6","6"
"AUS",2000,"5","4","6","6"
"AUS",2001,"4.91666666666667","4","6","6"
"AUS",2002,"4.5","4","6","6"
"AUS",2003,"4.5","4","6","6"
"AUS",2004,"4.58333333333333","4","6","6"
"AUS",2005,"5","4","6","5.875"
"AUS",2006,"4.625","4","6","5.5"
"AUS",2007,"4.50","4.00","6.00","5.50"
"AUS",2008,"4.5","4","6","5.5"
"AUS",2009,"4.5","4","6","5.5"
"AUS",2010,"4.875","4","6","5.5"
"AUS",2011,"5","4","6","5.5"
"AUS",2012,"4.66666666666667","4","6","5.5"
"AUS",2013,"4.5","4","6","5.5"
"AUS",2014,"4.5","4","6","5.5"
"AUS",2015,"4.5","4","6","5.5"
"AUS",2016,"4.5","4","6","5.5"
"AUS",2017,"4.5","4","6","5.5"
"AUT",1984,"5","3.5","5.58333333333333","6"
"AUT",1985,"5","3.5","4","6"
"AUT",1986,"5","3.5","4","6"
"AUT",1987,"5","3.5","4.91666666666667","6"
"AUT",1988,"5","3.79166666666667","5.58333333333333","6"
"AUT",1989,"5","4","6","6"
"AUT",1990,"5.08333333333333","4","6","6"
"AUT",1991,"5","4","6","6"
"AUT",1992,"5","4","6","6"
"AUT",1993,"5","4","6","6"
"AUT",1994,"5","4","6","6"
"AUT",1995,"5","4","5.66666666666667","6"
"AUT",1996,"5","4","6","6"
"AUT",1997,"4.41666666666667","3.95833333333333","5.33333333333333","6"
"AUT",1998,"4","4","5","6"
"AUT",1999,"4","4","5","6"
"AUT",2000,"4","4","5","6"
"AUT",2001,"4.5","4","5","6"
"AUT",2002,"5","4","5","6"
"AUT",2003,"5","4","5","6"
"AUT",2004,"5","4","5","6"
"AUT",2005,"5","4","5","6"
"AUT",2006,"5","4","5.20833333333333","6"
"AUT",2007,"5.00","4.00","5.50","6.00"
"AUT",2008,"5","4","5.625","6"
"AUT",2009,"5","4","6","6"
"AUT",2010,"5","4","6","6"
"AUT",2011,"4.91666666666667","4","6","6"
"AUT",2012,"4.5","4","6","6"
"AUT",2013,"4.5","4","6","6"
"AUT",2014,"4.5","4","6","6"
"AUT",2015,"4.5","4","6","6"
"AUT",2016,"4.5","4","6","6"
"AUT",2017,"4.5","4","6","6"
"AZE",1984,NA,NA,NA,NA
"AZE",1985,NA,NA,NA,NA
"AZE",1986,NA,NA,NA,NA
"AZE",1987,NA,NA,NA,NA
"AZE",1988,NA,NA,NA,NA
"AZE",1989,NA,NA,NA,NA
"AZE",1990,NA,NA,NA,NA
"AZE",1991,NA,NA,NA,NA
"AZE",1992,NA,NA,NA,NA
"AZE",1993,NA,NA,NA,NA
"AZE",1994,NA,NA,NA,NA
"AZE",1995,NA,NA,NA,NA
"AZE",1996,NA,NA,NA,NA
"AZE",1997,NA,NA,NA,NA
"AZE",1998,NA,NA,NA,NA
"AZE",1999,"2","1","2","4.08333333333333"
"AZE",2000,"2","1","2.91666666666667","4"
"AZE",2001,"2","1","2","4"
"AZE",2002,"2","1","2","4"
"AZE",2003,"2","1","1.91666666666667","4"
"AZE",2004,"2","1","1.5","4"
"AZE",2005,"1.66666666666667","1","1.5","3.625"
"AZE",2006,"1.5","1","1.5","3.5"
"AZE",2007,"1.50","1.00","1.50","3.50"
"AZE",2008,"1.5","1","1.5","3.5"
"AZE",2009,"1.5","1","1.5","3.5"
"AZE",2010,"1.5","1","1.5","3.5"
"AZE",2011,"1.5","1","1.5","3.5"
"AZE",2012,"1.5","1","1.5","3.5"
"AZE",2013,"1.5","1","1.5","3.5"
"AZE",2014,"1.5","1","1.5","3.5"
"AZE",2015,"1.5","1","1.5","3.5"
"AZE",2016,"1.5","1","1.5","3.5"
"AZE",2017,"1.5","1","1.5","3.5"
"BEL",1984,"6","4","5","6"
"BEL",1985,"6","4","5","6"
"BEL",1986,"5.83333333333333","4","5","6"
"BEL",1987,"5","4","5","6"
"BEL",1988,"5","4","5","6"
"BEL",1989,"5","4","5.25","6"
"BEL",1990,"5","4","5.83333333333333","6"
"BEL",1991,"5","4","6","6"
"BEL",1992,"5","4","6","6"
"BEL",1993,"5","4","6","6"
"BEL",1994,"5","4","6","6"
