"iso3c","year","globFin","globRestrict","globSoc","globPol"
"AGO",1984,42.18808365,34.88625717,15.136549,42.86933899
"AGO",1985,41.79407883,34.8724556,14.89109612,35.18772888
"AGO",1986,42.67503357,34.8656044,16.2363739,39.46776581
"AGO",1987,45.77275848,34.86206055,15.74143219,43.34529877
"AGO",1988,58.17721558,34.86392593,15.24354172,40.29055786
"AGO",1989,50.75445175,34.86756897,15.37870121,45.47307205
"AGO",1990,50.97800064,34.87727737,15.98870277,45.55237961
"AGO",1991,53.25183868,34.87830734,18.74644089,41.35227203
"AGO",1992,72.20603943,34.88208771,15.8735466,36.8641777
"AGO",1993,72.68586731,34.89281845,14.91145897,35.19693375
"AGO",1994,73.83062744,34.88834,14.6782198,41.82125473
"AGO",1995,76.22263336,34.90405273,15.63597679,37.71149445
"AGO",1996,75.66007996,36.8189621,17.58304596,26.62504578
"AGO",1997,75.58361816,37.99658966,15.32200623,36.63602829
"AGO",1998,78.32035065,38.00144958,16.07798958,46.42785645
"AGO",1999,85.13777161,37.20536804,16.45522118,44.33079529
"AGO",2000,83.42368317,39.5307045,16.63208961,44.28743362
"AGO",2001,83.32752228,38.12058258,17.58111763,40.40509033
"AGO",2002,76.7844696,36.68417358,19.58983421,40.37940979
"AGO",2003,75.25174713,36.46929932,20.68177032,42.06105423
"AGO",2004,73.08110046,36.05472565,20.9444046,40.76883316
"AGO",2005,72.68466187,34.66771698,23.29034615,41.06138611
"AGO",2006,65.86529541,36.78160858,24.96403313,43.05849457
"AGO",2007,62.68280411,33.81360245,28.41543388,47.91830826
"AGO",2008,63.19610214,28.75716591,26.94405937,47.41314697
"AGO",2009,69.68804932,25.71328735,30.54485512,47.28361511
"AGO",2010,69.75210571,31.71469688,30.69827271,46.80548477
"AGO",2011,66.49622345,32.69940948,31.8291626,47.65261459
"AGO",2012,65.93237305,31.27378654,33.20876312,47.93420792
"AGO",2013,65.85475922,29.789711,33.4478569,48.00980377
"AGO",2014,65.95024872,23.49494553,34.45726395,49.0072937
"AGO",2015,66.73705292,22.53633118,32.76821136,50.37973785
"ALB",1980,29.37550735,35.76340485,31.02042389,43.53060532
"ALB",1981,29.0493145,35.76381683,30.67226028,40.75000381
"ALB",1982,28.96908188,35.77241135,30.85951805,36.52502823
"ALB",1983,29.03469467,35.77381134,32.06825256,39.58768845
"ALB",1984,29.07085037,35.79911041,30.38924599,40.44010544
"ALB",1985,28.52772141,35.79964447,31.00732994,33.22483063
"ALB",1986,28.56177521,35.79821777,31.53886604,37.1283493
"ALB",1987,28.67422485,35.78722,30.2686882,41.85609436
"ALB",1988,28.84008598,35.78070068,32.76379395,35.18595886
"ALB",1989,28.83725357,35.76337433,32.71627808,39.59012985
"ALB",1990,28.9301815,35.76131058,33.13209915,25.18619728
"ALB",1991,35.68913651,35.77020645,36.03931427,28.83324051
"ALB",1992,46.40730667,35.78556442,40.01904297,38.66478729
"ALB",1993,51.93332672,35.78534698,36.70664215,43.50813675
"ALB",1994,39.69309616,35.79921722,35.24745941,50.53040314
"ALB",1995,32.48941803,35.81776428,36.49769974,60.21731949
"ALB",1996,26.61741638,34.58536148,38.29177475,51.54136276
"ALB",1997,33.23389435,34.48052597,39.52946091,61.1734581
"ALB",1998,38.15497589,35.8138237,41.90740967,61.4262619
"ALB",1999,34.55208588,36.41667557,44.34465027,57.24456787
"ALB",2000,40.01832199,37.01166153,46.27719879,60.46237183
"ALB",2001,44.17680359,41.29094315,52.28191376,65.29116821
"ALB",2002,41.16705322,44.61475372,52.27157974,69.56113434
"ALB",2003,42.23900604,45.04594803,55.80932617,64.35559082
"ALB",2004,38.88357544,45.46213531,57.77287674,55.968647
"ALB",2005,39.52490234,46.40365601,57.98431778,65.08100128
"ALB",2006,44.84422684,46.11435318,61.52945328,67.85746765
"ALB",2007,46.69264603,48.59579086,62.71580887,71.46051788
"ALB",2008,54.72512054,50.23241806,61.83027267,73.99515533
"ALB",2009,60.31681824,55.56267929,62.37432861,76.71589661
"ALB",2010,60.57383728,63.26950836,62.4661026,75.10688019
"ALB",2011,56.06700516,61.34098434,59.54255295,69.49330902
"ALB",2012,59.09867477,59.77307129,58.97489548,61.78429794
"ALB",2013,55.58276749,58.05780792,61.82423019,70.29116821
"ALB",2014,58.30581284,66.47816467,63.02310181,71.99227905
"ALB",2015,61.98787308,65.22242737,64.32813263,73.06655884
"ANT",1980,NA,NA,NA,NA
"ANT",1981,NA,NA,NA,NA
"ANT",1982,NA,NA,NA,NA
"ANT",1983,NA,NA,NA,NA
"ANT",1984,NA,NA,NA,NA
"ANT",1985,NA,NA,NA,NA
"ANT",1986,NA,NA,NA,NA
"ANT",1987,NA,NA,NA,NA
"ANT",1988,NA,NA,NA,NA
"ANT",1989,NA,NA,NA,NA
"ANT",1990,NA,NA,NA,NA
"ANT",1991,NA,NA,NA,NA
"ANT",1992,NA,NA,NA,NA
"ANT",1993,NA,NA,NA,NA
"ANT",1994,NA,NA,NA,NA
"ANT",1995,NA,NA,NA,NA
"ANT",1996,NA,NA,NA,NA
"ANT",1997,NA,NA,NA,NA
"ANT",1998,NA,NA,NA,NA
"ANT",1999,NA,NA,NA,NA
"ANT",2000,NA,NA,NA,NA
"ANT",2001,NA,NA,NA,NA
"ANT",2002,NA,NA,NA,NA
"ANT",2003,NA,NA,NA,NA
"ANT",2004,NA,NA,NA,NA
"ANT",2005,NA,NA,NA,NA
"ANT",2006,NA,NA,NA,NA
"ANT",2007,NA,NA,NA,NA
"ANT",2008,NA,NA,NA,NA
"ANT",2009,NA,NA,NA,NA
"ANT",2010,NA,NA,NA,NA
"ANT",2011,NA,NA,NA,NA
"ANT",2012,NA,NA,NA,NA
"ANT",2013,NA,NA,NA,NA
"ANT",2014,NA,NA,NA,NA
"ANT",2015,NA,NA,NA,NA
"ARE",1980,37.31858444,73.90280914,53.99879074,38.89740372
"ARE",1981,41.14644241,73.90861511,51.85419083,40.2563591
"ARE",1982,45.45254898,73.94451141,52.04444504,40.47927094
"ARE",1983,49.16711807,73.96800995,51.98848724,44.54549026
"ARE",1984,52.02769089,74.06459808,51.83221817,46.44098663
"ARE",1985,55.63394547,74.0891571,51.43458176,46.68735886
"ARE",1986,60.18015289,74.10112762,52.88121796,46.51625061
"ARE",1987,62.42812347,74.0820694,51.37028885,44.10968399
"ARE",1988,62.61910248,74.07526398,50.5316925,41.50208282
"ARE",1989,60.42209625,74.03598785,50.55026245,40.32956314
"ARE",1990,56.56995392,74.02970123,50.71061325,41.57956314
"ARE",1991,56.78141785,74.05265808,57.35731506,43.78384781
"ARE",1992,55.94576645,74.09487152,58.50849533,59.03077698
"ARE",1993,56.03610611,74.09519196,59.62891769,59.06648254
"ARE",1994,56.09601593,74.13643646,61.4347496,51.02161789
"ARE",1995,53.92959976,74.17734528,62.14528656,52.86199188
"ARE",1996,51.80327606,74.21764374,64.13922882,52.83693695
"ARE",1997,53.11177063,75.0250473,64.64451599,55.00310135
"ARE",1998,56.08698273,75.19046021,66.0388031,55.36382294
"ARE",1999,52.45942307,74.97039032,69.17358398,54.59930038
"ARE",2000,52.23937225,75.12628937,69.66073608,55.13554001
"ARE",2001,55.93143845,75.27285767,70.23270416,55.57598877
"ARE",2002,55.30031586,75.42796326,70.60087585,55.23606873
"ARE",2003,57.85927963,75.86685181,68.16891479,56.55942154
"ARE",2004,62.96987534,76.68434143,68.44419861,56.72216415
"ARE",2005,66.2378006,78.92655182,72.18359375,57.44138336
"ARE",2006,72.89447021,79.73065186,70.66205597,58.59762573
"ARE",2007,79.21203613,80.23157501,71.79373169,60.62950516
"ARE",2008,78.39472961,82.2725296,72.13845062,61.58074188
"ARE",2009,82.11244202,81.2711792,69.75508118,62.010952
"ARE",2010,81.12311554,79.83758545,70.26106262,63.86622238
"ARE",2011,78.14463806,81.20441437,72.17858887,65.04401398
"ARE",2012,78.11185455,82.48016357,71.99739838,65.7337265
"ARE",2013,78.15975189,81.65827179,72.22504425,66.20075226
"ARE",2014,78.23345947,80.01976776,74.22993469,67.55285645
"ARE",2015,78.28156281,80.65465546,74.15396881,68.03462982
"ARG",1980,41.21469498,55.47475433,40.26073456,72.41394806
"ARG",1981,46.83362198,55.48150635,39.54586411,71.41622925
"ARG",1982,45.99861526,50.43194199,39.14533234,70.02328491
"ARG",1983,40.31609726,50.40496445,39.96568298,73.31267548
"ARG",1984,50.61617279,50.23301697,42.23154068,73.74198151
"ARG",1985,48.78245163,50.13524628,42.52773666,74.55581665
"ARG",1986,37.81258392,50.43673706,44.24498367,75.14904022
"ARG",1987,37.98147964,50.43946838,45.46660995,73.93632507
"ARG",1988,38.50254822,50.59202576,42.47869492,72.133461
"ARG",1989,58.94642258,50.99286652,42.12631989,69.32010651
"ARG",1990,44.94074249,51.17090225,44.05345535,70.03112793
"ARG",1991,37.16489792,54.66604614,44.0540657,74.74502563
"ARG",1992,34.07689285,55.66571426,44.92147064,83.75304413
"ARG",1993,39.72748566,65.2755127,47.78256607,87.21394348
"ARG",1994,41.64331818,66.89847565,48.79118347,88.25640106
"ARG",1995,47.88839722,70.49100494,49.98557281,89.74314117
"ARG",1996,50.47158432,67.61529541,51.03787613,89.75753784
"ARG",1997,54.61938095,68.18563843,54.33398819,90.40753174
"ARG",1998,58.13138199,65.67705536,53.99356079,91.02594757
"ARG",1999,62.24560165,66.5657959,56.74907303,90.6548233
"ARG",2000,65.60870361,66.36480713,58.85030365,91.3890152
"ARG",2001,61.93140793,54.22114944,58.6732254,92.24367523
"ARG",2002,82.7696228,41.97354507,57.36254883,91.80622864
"ARG",2003,78.84929657,45.27467728,58.80158234,92.38857269
"ARG",2004,75.82758331,44.42948532,58.97045135,91.77111053
