"iso3c","year","CLandPR"
"AUS","2002",1
"AUS","2003",1
"AUS","2004",1
"AUS","2005",1
"AUS","2006",1
"AUS","2007",1
"AUS","2008",1
"AUS","2009",1
"AUS","2010",1
"AUS","2011",1
"AUS","2012",1
"AUS","2013",1
"AUS","2014",1
"AUS","2015",1
"AUS","2016",1
"AUS","2017",1
"AUT","1980",1
"AUT","1981",1
"AUT","1982",1
"AUT","1983",1
"AUT","1984",1
"AUT","1985",1
"AUT","1986",1
"AUT","1987",1
"AUT","1988",1
"AUT","1989",1
"AUT","1990",1
"AUT","1991",1
"AUT","1992",1
"AUT","1993",1
"AUT","1994",1
"AUT","1995",1
"AUT","1996",1
"AUT","1997",1
"AUT","1998",1
"AUT","1999",1
"AUT","2000",1
"AUT","2001",1
"AUT","2002",1
"AUT","2003",1
"AUT","2004",1
"AUT","2005",1
"AUT","2006",1
"AUT","2007",1
"AUT","2008",1
"AUT","2009",1
"AUT","2010",1
"AUT","2011",1
"AUT","2012",1
"AUT","2013",1
"AUT","2014",1
"AUT","2015",1
"AUT","2016",1
"AUT","2017",1
"AZE","1991",5
"AZE","1992",5
"AZE","1993",6
"AZE","1994",6
"AZE","1995",6
"AZE","1996",5.5
"AZE","1997",5
"AZE","1998",5
"AZE","1999",5
"AZE","2000",5.5
"AZE","2001",5.5
"AZE","2002",5.5
"AZE","2003",5.5
"AZE","2004",5.5
"AZE","2005",5.5
"AZE","2006",5.5
"AZE","2007",5.5
"AZE","2008",5.5
"AZE","2009",5.5
"AZE","2010",5.5
"AZE","2011",5.5
"AZE","2012",5.5
"AZE","2013",6
"AZE","2014",6
"AZE","2015",6.5
"AZE","2016",6.5
"AZE","2017",6.5
"BHS","1980",1.5
"BHS","1981",1.5
"BHS","1982",1.5
"BHS","1983",2
"BHS","1984",2
"BHS","1985",2
"BHS","1986",2
"BHS","1987",2.5
"BHS","1988",2.5
"BHS","1989",2.5
"BHS","1990",2.5
"BHS","1991",2.5
"BHS","1992",1.5
"BHS","1993",1.5
"BHS","1994",1.5
"BHS","1995",1.5
"BHS","1996",1.5
"BHS","1997",1.5
"BHS","1998",1.5
"BHS","1999",1
"BHS","2000",1
"BHS","2001",1
"BHS","2002",1
"BHS","2003",1
"BHS","2004",1
"BHS","2005",1
"BHS","2006",1
"BHS","2007",1
"BHS","2008",1
"BHS","2009",1
"BHS","2010",1
"BHS","2011",1
"BHS","2012",1
"BHS","2013",1
"BHS","2014",1
"BHS","2015",1
"BHS","2016",1
"BHS","2017",1
"BHR","1980",5
"BHR","1981",5
"BHR","1982",5
"BHR","1983",5
"BHR","1984",5
"BHR","1985",5
"BHR","1986",5
"BHR","1987",5
"BHR","1988",5
"BHR","1989",5.5
"BHR","1990",5.5
"BHR","1991",5.5
"BHR","1992",5.5
"BHR","1993",6
"BHR","1994",6
"BHR","1995",6
"BHR","1996",6.5
"BHR","1997",6.5
"BHR","1998",6.5
"BHR","1999",6.5
"BHR","2000",6.5
"BHR","2001",5.5
"BHR","2002",5
"BHR","2003",5
"BHR","2004",5
"BHR","2005",5
"BHR","2006",5
"BHR","2007",5
"BHR","2008",5
"BHR","2009",5.5
"BHR","2010",5.5
"BHR","2011",6
"BHR","2012",6
"BHR","2013",6
"BHR","2014",6.5
"BHR","2015",6.5
"BHR","2016",6.5
"BHR","2017",6.5
"BGD","1980",3.5
"BGD","1981",5
"BGD","1982",5
"BGD","1983",5.5
"BGD","1984",5.5
"BGD","1985",5
"BGD","1986",4.5
"BGD","1987",4.5
"BGD","1988",4.5
"BGD","1989",4
"BGD","1990",5
"BGD","1991",2.5
"BGD","1992",2.5
"BGD","1993",3
"BGD","1994",3
"BGD","1995",3.5
"BGD","1996",3
"BGD","1997",3
"BGD","1998",3
"BGD","1999",3.5
"BGD","2000",3.5
"BGD","2001",3.5
"BGD","2002",4
"BGD","2003",4
"BGD","2004",4
"BGD","2005",4
"BGD","2006",4
"BGD","2007",4.5
"BGD","2008",4
"BGD","2009",3.5
"BGD","2010",3.5
"BGD","2011",3.5
"BGD","2012",3.5
"BGD","2013",3.5
"BGD","2014",4
"BGD","2015",4
"BGD","2016",4
"BGD","2017",4
"BRB","1980",1
"BRB","1981",1
"BRB","1982",1
"BRB","1983",1
"BRB","1984",1.5
"BRB","1985",1.5
"BRB","1986",1
"BRB","1987",1
"BRB","1988",1
"BRB","1989",1
"BRB","1990",1
"BRB","1991",1
"BRB","1992",1
"BRB","1993",1
"BRB","1994",1
"BRB","1995",1
"BRB","1996",1
"BRB","1997",1
"BRB","1998",1
"BRB","1999",1
"BRB","2000",1
"BRB","2001",1
"BRB","2002",1
"BRB","2003",1
"BRB","2004",1
"BRB","2005",1
"BRB","2006",1
"BRB","2007",1
"BRB","2008",1
"BRB","2009",1
"BRB","2010",1
"BRB","2011",1
"BRB","2012",1
"BRB","2013",1
"BRB","2014",1
"BRB","2015",1
"BRB","2016",1
"BRB","2017",1
"BLR","1991",4
"BLR","1992",3.5
"BLR","1993",4.5
"BLR","1994",4
"BLR","1995",5
"BLR","1996",6
"BLR","1997",6
"BLR","1998",6
"BLR","1999",6
"BLR","2000",6
"BLR","2001",6
"BLR","2002",6
"BLR","2003",6
"BLR","2004",6.5
"BLR","2005",6.5
"BLR","2006",6.5
"BLR","2007",6.5
"BLR","2008",6.5
"BLR","2009",6.5
"BLR","2010",6.5
"BLR","2011",6.5
"BLR","2012",6.5
"BLR","2013",6.5
"BLR","2014",6.5
"BLR","2015",6.5
"BLR","2016",6.5
"BLR","2017",6
"BEL","1980",1
"BEL","1981",1
"BEL","1982",1
"BEL","1983",1
"BEL","1984",1
"BEL","1985",1
"BEL","1986",1
"BEL","1987",1
"BEL","1988",1
"BEL","1989",1
"BEL","1990",1
"BEL","1991",1
"BEL","1992",1
"BEL","1993",1
"BEL","1994",1
"BEL","1995",1
"BEL","1996",1.5
"BEL","1997",1.5
"BEL","1998",1.5
"BEL","1999",1.5
"BEL","2000",1.5
"BEL","2001",1.5
"BEL","2002",1
"BEL","2003",1
"BEL","2004",1
"BEL","2005",1
"BEL","2006",1
"BEL","2007",1
"BEL","2008",1
"BEL","2009",1
"BEL","2010",1
"BEL","2011",1
"BEL","2012",1
"BEL","2013",1
"BEL","2014",1
"BEL","2015",1
"BEL","2016",1
"BEL","2017",1
"BLZ","1981",1.5
"BLZ","1982",1.5
"BLZ","1983",1.5
"BLZ","1984",1.5
"BLZ","1985",1
"BLZ","1986",1
"BLZ","1987",1
"BLZ","1988",1.5
"BLZ","1989",1.5
"BLZ","1990",1.5
"BLZ","1991",1
"BLZ","1992",1
"BLZ","1993",1
"BLZ","1994",1
"BLZ","1995",1
"BLZ","1996",1
"BLZ","1997",1
"BLZ","1998",1
"BLZ","1999",1
"BLZ","2000",1
"BLZ","2001",1.5
"BLZ","2002",1.5
"BLZ","2003",1.5
"BLZ","2004",1.5
"BLZ","2005",1.5
"BLZ","2006",1.5
"BLZ","2007",1.5
"BLZ","2008",1.5
"BLZ","2009",1.5
"BLZ","2010",1.5
"BLZ","2011",1.5
"BLZ","2012",1.5
