"iso3c","country","period","Top10share","Top1share","NatRes","GovExp","GDSavings","PopGrowth","PopTot","Infl","EducExp","VAI","VAA","NetFDIin","RuleofLaw","GDPpc","GDPgrowth","TradeOpen","LifeExp","Unemployment","WarYears","RevCoups","EquipI","NonequipI","kaopen","FID","FIA","FIE","FMD","EFW","EducIndex","CLandPR","LeftWing","GiniNet","RedistAbs","globFin","globRestrict","globSoc","globPol","Age","GDPpc#GDPpc","Infl#Infl","EducIndex#EducIndex"
"AGO","Angola",2,0.50200655518,0.16186968966,44.9339558816719,16.724179217468,50.6780590358038,3.65043521771051,16.855804476947,14.9432669073653,2.86400000000005,56.9412117538414,5.3840995722456,0.0131118110789243,-1.3383392,8.67631856209933,10.5222935367572,110.617407921067,52.2078,15.0983999252319,0,0,0.0424717473866433,0.234150142613357,-1.63393850326538,0.05792418,0.07899966,0.53922926,0.12972302,4.84089424,0.376,5.5,1,47.4793948441922,5.67118103934397,66.82338257,31.946676254,26.83174553,45.346990204,16.4,75.2862238583542,239.631722997695,0.141768
"ALB","Albania",1,0.296020002,0.0702800006,0.824292699653533,10.7915698396081,9.5046432770357,-0.533556901191508,14.9317272295181,2.73843080443524,2.93287730838688,22.5917614623413,22.3544796311698,4.08438482141133,-0.79546,8.73625909679906,6.16402325461292,66.5075990974562,74.5378,17.4911998748779,0,0,0.0231203644509402,0.19043211034906,-0.141151502728462,0.03458516,0.11102538,0.62511086,0.01952964,6.6050019736,0.5972,3.4,1,38.3533028680085,9.48997759118267,41.296952056,42.685088348,52.88257904,63.12778244,27,76.3297153880888,15.0946848709031,0.356706
"ALB","Albania",2,0.291320002,0.072819999,1.45240239112223,10.70487402847,9.23677243715277,-0.667931424457547,14.9039457722501,2.65290543317731,3.04546894387049,25.0609725589324,17.4677494982413,6.78229397767376,-0.631305,9.04298415711156,5.65200355114828,76.1776155942753,75.686,15.1935998916626,0,0,0.0326620504793492,0.290218831320651,-0.996245685219765,0.0840262,0.30517906,0.6619892,0.01197418,7.1965008038,0.6384,3,0.2,38.3899210608983,9.89186128129806,49.220742798,49.38177948,61.286836242,71.02200775,29.1,81.7839101434476,7.22230312650676,0.4076708
"ALB","Albania",3,0.2749,0.064833333,3.24763562975731,11.0907408207026,9.87078254318808,-0.264177743928134,14.8804112605456,2.52662585021922,3.1478857454742,23.382116988683,18.9009469553364,8.64690336051048,-0.44778864,9.24342690865865,2.08924279462667,77.1107437128035,77.219,14.8598001480103,0,0,0.0294070946827017,0.214087958117298,-0.141151502728462,0.12583772,0.4357956,0.6762731,0.01628904,7.4140829352,0.7122,3,0.2,38.4840146475109,9.71422729434167,57.925619508,61.783907316,61.166176606,69.733586882,32.2,85.441585410001,7.07607627842846,0.5078382
"AUS","Australia",1,0.291940006,0.0805000008,3.35090022344132,17.6410524149638,24.113543689693,1.23090865533399,16.7933348597131,3.38439924806883,4.858,23.9933758695592,3.30421770829665,3.81290019243135,1.8122545,10.5074522792902,3.38136979237466,40.8736748817239,79.9068292682927,6.14340000152588,0.2,0,0.0386891242886754,0.237149691911325,1.06518971920013,0.91374264,0.82249798,0.68160374,0.86966618,8.0504095142,0.8942,1,0,31.9023447180151,16.0878082501237,71.87552185,75.032319642,78.319837952,88.930317686,35.4,110.407380447154,12.227856538854,0.7995958
"AUS","Australia",2,0.299739998,0.08758,7.57223661508149,17.4439056726388,26.0517121932172,1.49695256094069,16.858478595754,2.93922928509327,4.75,25.6944649461985,2.48830308509322,2.61232559971979,1.7533954,10.605713932104,3.08757748214056,42.3190172637661,81.2229268292683,4.79720001220703,0,0,0.0496422414064656,0.237053203193535,1.06518971920013,0.92767204,0.8407071,0.72959222,0.92049528,8.2007251592,0.9016,1,0.4,32.4092489887588,15.4739684394196,81.723330688,75.026075744,81.566160586,89.320019532,36.5,112.481768183398,9.47315130145908,0.8129384
"AUS","Australia",3,0.30826,0.08662,8.66024891923903,17.8667497311246,26.7413687478844,1.58071096689581,16.9394540300219,2.58455633714651,4.95301437239433,25.7029021022998,2.24479776611539,3.84404439773026,1.7952472,10.6604416102028,2.71328083593901,41.8963344288859,82.0170731707317,5.45139999389648,0,0,0.0407095143588387,0.225131987641161,1.372754073143,0.83234594,0.83013198,0.77012922,0.92251984,8.0525977538,0.9186,1,0.8,32.8128432133431,15.1979224975599,79.569111634,76.121571352,83.40976715,90.385084534,36.8,113.645355860236,6.94624839752072,0.8438406
"AUT","Austria",1,0.275000006,0.065640001,0.14964535843486,18.9811160424404,27.1262628159436,0.444558706669196,15.9056004453292,2.04439671804109,5.31993377642514,27.7507548669464,1.56983686215861,2.29594975990734,1.86456525,10.5871627511099,1.99420708026339,87.4050112981462,78.6385365853659,4.83119993209839,0,0,0.053712547045554,0.210873952154446,2.34670782089233,0.6643703,0.65015062,0.71002898,0.3500887,7.9592941276,0.7348,1,0,26.8165156796229,18.7283025169662,83.078245544,88.193597414,83.7230896,95.071603392,38.2,112.088254907266,4.37687628282218,0.5400604
"AUT","Austria",2,0.274219996,0.0658800004,0.206211375334806,19.4611400393185,27.6693486160758,0.415041237250314,15.9307120803887,1.9263000724003,5.158,26.9318624437572,1.29360428962482,10.3222249749074,1.8881522,10.6677723271527,1.4242735919074,96.3982569313121,80.0312195121952,5.03159990310669,0,0,0.0614793210920276,0.205855551307972,2.34670782089233,0.68821678,0.63867106,0.6784486,0.52421972,7.8728971518,0.7884,1,0.6,27.8244922516366,19.6872621027485,92.375695802,84.357823182,85.42615814,95.74846649,40,113.80204854317,4.53308322178288,0.622392
"AUT","Austria",3,0.27722,0.067620001,0.241956709389325,19.9937185833771,26.526124134047,0.48086830017403,15.9487289830727,2.23835096793242,5.29166934899906,25.5011952424381,1.29465115529035,0.296203281794294,1.852776,10.695926870531,1.22542281967058,103.368942326392,81.0253658536586,5.04079999923706,0,0,0.0699097460838973,0.218278240716103,2.34670782089233,0.6699067,0.65893118,0.69267738,0.49687814,7.727529852,0.8386,1,1,28.1982279191778,20.3693185464736,90.606011964,80.141690064,86.357295226,95.65051117,41.9,114.402949547462,5.36967008513531,0.7032638
