"iso3c","country","period","Top10share","Top1share","NatRes","GovExp","GDSavings","PopGrowth","PopTot","Infl","EducExp","VAI","VAA","NetFDIin","RuleofLaw","GDPpc","GDPgrowth","TradeOpen","LifeExp","Unemployment","WarYears","RevCoups","EquipI","NonequipI","kaopen","FID","FIA","FIE","FMD","EFW","EducIndex","CLandPR","LeftWing","GiniNet","RedistAbs","globFin","globRestrict","globSoc","globPol","GDPpc#GDPpc","Infl#Infl","EducIndex#EducIndex"
"AGO","Angola",2,0.5334402847,0.185479636866667,35.2194778965382,17.3984520650957,43.7617239102394,3.45646069789277,16.7474204271403,54.9065880868977,2.69,56.0496370523627,5.83655460737286,8.62786651533084,-1.48178333333333,8.44656769074898,9.65720903221201,104.690704435523,49.2893333333333,22.6999994913737,0,0,0.0831430918749594,0.213978681458374,-1.21001923084259,0.0715515333333333,0.0319116,0.351857433333333,0.211700033333333,4.002282405,0.336,5.5,1,48.4929162502466,5.5753596720868,73.6725031533333,35.73058065,21.6388403566667,41.2970911666667,71.3496232059594,4023.58708524729,0.112992
"AGO","Angola",3,0.499761287566667,0.1601832644,49.2959049569098,15.8977561904118,54.494273156997,3.67024708370046,16.8556159400645,12.6775122521972,2.79750000000004,60.0825630476929,5.07963261428047,0.151850800459407,-1.3444,8.69833743206704,12.2412799170525,108.016645043889,52.1876666666667,14.7836666107178,0,0,0.0370451545985576,0.207297550068109,-1.68104064464569,0.0506808,0.0793312333333333,0.557632466666667,0.112635633333333,4.94809984533333,0.376,5.5,1,47.4085564679237,5.70946992897148,63.9147338866667,33.11745898,26.7745087933333,46.1299832666667,75.6655418089537,160.924706698583,0.141506666666667
"AGO","Angola",4,0.4885349596,0.1517511407,36.8788592712849,18.3922649295116,44.2769898133583,3.66983290335017,16.9662506550363,13.8941361146498,3.4841666666667,50.8171086002485,6.21572373997748,-1.1397743492818,-1.25383433333333,8.75353821359059,3.06330452392329,108.850760052352,55.3303333333333,9.01999998092653,0,0,0.0511254059040105,0.279408088762656,-1.91655135154724,0.0757402,0.156127333333333,0.608194233333333,0.0800224666666667,5.329835926,0.408333333333333,5.5,1,46.9397454072558,5.55057624266344,68.6454594933333,30.04246457,31.02409681,47.2472381566667,76.624452672918,193.222865687732,0.166849666666667
"ALB","Albania",1,0.296300003333333,0.0703666683333333,0.861001314339416,10.5511815166259,9.12248277047834,-0.625234652913414,14.9361106540469,3.64271074699223,2.91035898129016,21.4125671552931,23.0855773800462,4.16634542506196,-0.8854634,8.67715944498068,6.59335560064432,66.1567195898717,74.274,17.5626665751139,0,0,0.0222789366749504,0.163349904658383,-0.141151502728462,0.0314325333333333,0.103302933333333,0.6091782,0.0229803333333333,6.37817043166667,0.591666666666667,3.66666666666667,1,38.2883342213445,9.43864357501774,41.7873929333333,40.9724528,50.27689743,65.10489146,75.2962943214883,23.3468928045078,0.350089666666667
"ALB","Albania",2,0.294600003333333,0.0702333326666667,0.862848086687056,11.1118563534238,10.7263582949358,-0.434623554546398,14.9227495733735,1.71020124599915,2.97791396258033,24.6009367807023,20.4536412695301,3.72755205788299,-0.715749666666667,8.85419177648429,5.52332142679885,68.3133883284854,75.0316666666667,17.2140000661214,0,0,0.0244269704905401,0.246892905176127,-0.141151502728462,0.0436617,0.139732966666667,0.652342666666667,0.0144133,6.95871577866667,0.611333333333333,3,1,38.4423557247683,9.62897519461888,40.21582794,45.63724645,57.18884023,61.8017463666667,78.3989841194201,3.67781869974455,0.373796666666667
"ALB","Albania",3,0.291966666666667,0.0734999976666667,1.74394526038192,10.4612287798098,8.71086022118833,-0.717990986471301,14.9040394873225,2.88884945810998,3.04546894387049,25.2698354497541,17.2330340599912,6.4971764022962,-0.639919766666667,9.04681590768907,6.46001185130889,78.3069770486451,75.6603333333333,15.1399997075399,0,0,0.0340381181248423,0.296481835875158,-1.21001923084259,0.0868637666666667,0.3077011,0.666598166666667,0.0116583333333333,7.22766634833333,0.639,3,0,38.3710860140128,9.93929732349188,48.7539978033333,48.3141873666667,62.0251782733333,71.1043802866667,81.8484242514101,8.5105578800404,0.408373666666667
"ALB","Albania",4,0.27943333,0.0678999993333333,2.15629605163714,11.0803133843513,9.8292417352905,-0.479791113867977,14.8854593937505,3.09653912728111,3.11302392516065,24.611842736775,17.6589979839656,9.47684261644272,-0.454392333333333,9.19856517032328,3.20076049247089,77.6189125779099,76.5656666666667,13.747000058492,0,0,0.0340684506997502,0.251317465966916,-0.497440745433171,0.1110607,0.435871466666667,0.663949833333333,0.0144907,7.35854843233333,0.672666666666667,3,0,38.4421155664891,9.78614305738774,58.9858868933333,60.0577239966667,61.46099472,73.7720286066667,84.6144092016985,9.96775233464525,0.452760666666667
"ALB","Albania",5,0.27450001,0.064000003,3.58312715450958,11.1073944470903,9.29805407373464,-0.185136474829558,14.878447995363,1.85830290133715,3.16362084998432,22.4962362274033,19.4407094477126,8.65472043097542,-0.458732033333333,9.26105130480479,1.39799996275683,75.9305997959796,77.5396666666667,15.5773334503174,0,0,0.0271700400315688,0.199856054635098,-0.141151502728462,0.134396433333333,0.4333916,0.680219733333333,0.0161121,7.43620853,0.731666666666667,3,0.333333333333333,38.536489007222,9.67269879387993,57.6624183666667,61.43634796,61.2740758266667,68.0225817333333,85.7672396752121,3.4854187407925,0.535337666666667
"AUS","Australia",1,0.291833343333333,0.0790333326666667,3.30090788026972,17.7048339211663,24.066464218276,1.25373148368778,16.7810275208511,3.94871501645015,4.844,23.9848111351042,3.52348009669477,3.37763657891865,1.7756985,10.4870273986679,3.28845220070442,42.317165137859,79.6016260162602,6.46433337529501,0,0,0.0347970657566586,0.225780086243342,1.06518971920013,0.900908466666667,0.822116866666667,0.680007966666667,0.8439056,8.05597806933333,0.895333333333333,1,0,31.942115810264,16.0242311341793,68.1511561066667,75.66110484,77.8146311433333,89.1277770966667,109.977946954818,16.0604523104265,0.801622
"AUS","Australia",2,0.295033336666667,0.0842000023333333,4.08741238588528,17.5507829565011,24.3954406743067,1.23771279332284,16.8181274201243,2.58922762472067,4.886,24.2107885642596,2.94465942601228,1.77092553013023,1.80735733333333,10.5488968278039,3.41521749392896,38.896020543988,80.5235772357723,5.45199998219808,0.333333333333333,0,0.0465548647756881,0.251943795890978,1.06518971920013,0.933909233333333,0.8266512,0.684114866666667,0.910813066666667,8.09093980533333,0.892333333333333,1,0,31.8942152599927,16.1230462025867,77.7250315333333,74.3854777,79.4535827666667,88.4629872633333,111.279590051533,6.73462785783306,0.796259
