"iso3c","year","EquipI","NonequipI"
"ABW",1980,0.0122831070739284,0.417260506926072
"ABW",1981,0.0125785240948779,0.422184668905122
"ABW",1982,0.0136434345156836,0.456549862484316
"ABW",1983,0.0137775888216622,0.469190563178338
"ABW",1984,0.0135432073435812,0.469926010656419
"ABW",1985,0.012411398397655,0.429504679602345
"ABW",1986,0.0128324961972309,0.437512721802769
"ABW",1987,0.0126343572545348,0.430270204745465
"ABW",1988,0.0133210636165778,0.428016998383422
"ABW",1989,0.0138997898649214,0.449812992135079
"ABW",1990,0.0117438970497919,0.402965134950208
"ABW",1991,0.0190821116753852,0.536248105324615
"ABW",1992,0.00974711283127611,0.339192872168724
"ABW",1993,0.0108491141718538,0.377587560828146
"ABW",1994,0.0107707851786909,0.367106867821309
"ABW",1995,0.0238711767339481,0.334040887266052
"ABW",1996,0.0243953020752162,0.370772167924784
"ABW",1997,0.0193020438325948,0.398397442167405
"ABW",1998,0.0106301019859921,0.365227907014008
"ABW",1999,0.0112750051903299,0.29790814580967
"ABW",2000,0.0253881668460617,0.288802638153938
"ABW",2001,0.0278832093919566,0.243371926608043
"ABW",2002,0.0458941645594702,0.34801013444053
"ABW",2003,0.0460160412842337,0.369303639715766
"ABW",2004,0.0429417482862696,0.34713941871373
"ABW",2005,0.0421084560466709,0.412334104953329
"ABW",2006,0.0466911388552704,0.41136629414473
"ABW",2007,0.0506503257656692,0.406058820234331
"ABW",2008,0.0580415622553225,0.381610135744677
"ABW",2009,0.0854541131948496,0.36640154580515
"AGO",1980,0.0927438676903753,0.192297613309625
"AGO",1981,0.102378564801394,0.194847328198606
"AGO",1982,0.135595934616551,0.229997767383449
"AGO",1983,0.101648627003488,0.201715112996512
"AGO",1984,0.111522697561383,0.209319181438617
"AGO",1985,0.0617968114722262,0.163400086527774
"AGO",1986,0.0802662407786904,0.14293950422131
"AGO",1987,0.0776839755564269,0.146697545443573
"AGO",1988,0.072709993569178,0.118659927430822
"AGO",1989,0.0484867295522849,0.0958395994477151
"AGO",1990,0.0506025058078333,0.0850542531921667
"AGO",1991,0.17010846116583,0.24112770583417
"AGO",1992,0.174242245163749,0.339030934836251
"AGO",1993,0.165153797614505,0.300792668385495
"AGO",1994,0.187108930965288,0.245415124034712
"AGO",1995,0.386488199920699,0.222204446079301
"AGO",1996,0.435129443115468,0.242931564884532
"AGO",1997,0.308143093236152,0.225857482763848
"AGO",1998,0.329283743270058,0.293971688729942
"AGO",1999,0.365955040571516,0.190945818428484
"AGO",2000,0.215000956698451,0.132456362301549
"AGO",2001,0.183224734849377,0.0936057001506228
"AGO",2002,0.133384971656263,0.125903250343737
"AGO",2003,0.162700228472741,0.161365248527259
"AGO",2004,0.0768620495255687,0.230402457474431
"AGO",2005,0.051509105299425,0.206400311700575
"AGO",2006,0.0373927933088301,0.18394057669117
"AGO",2007,0.0379000332175249,0.198580336782475
"AGO",2008,0.0469469241589267,0.223910528841073
"AGO",2009,0.0601949188471923,0.334241381152808
"AIA",1980,0.0439749124510538,0.657033049548946
"AIA",1981,0.0463821489105563,0.673085312089444
"AIA",1982,0.0481948092699558,0.686895565730044
"AIA",1983,0.0462499200269029,0.665028518973097
"AIA",1984,0.0454948543667728,0.628073692633227
"AIA",1985,0.0430388191936763,0.594462122806324
"AIA",1986,0.0503419952978139,0.676829961702186
"AIA",1987,0.0586602091790514,0.758356690820949
"AIA",1988,0.0379191235340958,0.557624082465904
"AIA",1989,0.0373892115265447,0.544109351473455
"AIA",1990,0.0303434756775406,0.498742160322459
"AIA",1991,0.0265409736462107,0.445573380353789
"AIA",1992,0.0277748975712763,0.468426707428724
"AIA",1993,0.0209070691492062,0.368844245850794
"AIA",1994,0.0228833684776088,0.361540423522391
"AIA",1995,0.0261705578056086,0.383309149194391
"AIA",1996,0.0253173973646858,0.402710142635314
"AIA",1997,0.0291156091498628,0.375434287850137
"AIA",1998,0.0452953445350636,0.444149537464936
"AIA",1999,0.0377142120478047,0.565458745952195
"AIA",2000,0.180986276958609,0.493699618041391
"AIA",2001,0.141707887279957,0.405014822720043
"AIA",2002,0.103623728071271,0.343822021928729
"AIA",2003,0.12939319000834,0.29254934199166
"AIA",2004,0.0746230916045456,0.467902378395454
"AIA",2005,0.0809960183581921,0.493098277641808
"AIA",2006,0.182360335412355,0.517036751587645
"AIA",2007,0.190650255064265,0.642588524935735
"AIA",2008,0.208227915396365,0.713692503603635
"AIA",2009,0.11208448253114,0.40209695246886
"ALB",1980,0.000626319129752903,0.130765071870247
"ALB",1981,0.000870087905528409,0.146471894094472
"ALB",1982,0.00112224260411728,0.169280999395883
"ALB",1983,0.00110136150249047,0.14569924549751
"ALB",1984,0.00108514391836612,0.123673800081634
"ALB",1985,0.0013469466469183,0.130169063353082
"ALB",1986,0.00139532921042366,0.127134099789576
"ALB",1987,0.00138849355790565,0.109156188442094
"ALB",1988,0.00157940582201976,0.11379220917798
"ALB",1989,0.00157763223220341,0.122741555767797
"ALB",1990,0.00149406435073258,0.0810246476492674
"ALB",1991,0.000399747234197991,0.019336823765802
"ALB",1992,0.000832725556249411,0.0148339664437506
"ALB",1993,0.00264295845103391,0.0416608875489661
"ALB",1994,0.0042784200865938,0.0587038109134062
"ALB",1995,0.00341617999145908,0.0594344220085409
"ALB",1996,0.00259778931882517,0.0661770526811748
"ALB",1997,0.00544689301767952,0.0965393289823205
"ALB",1998,0.0134586265370829,0.121150327462917
"ALB",1999,0.0171087620142595,0.13047913298574
"ALB",2000,0.0212323378117313,0.170888467188269
