"iso3c","year","FID","FIA","FIE","FMD","FMA","FME"
"GBR",2012,1,0.7407142,0.6156076,0.9765781,0.7160241,0.825745
"GBR",2013,1,0.774362,0.6370202,0.9766162,0.7408429,0.825745
"GBR",2014,1,0.774362,0.6266679,0.9764968,0.7408429,0.825745
"AUT",1980,0.4213754,0.3356823,0.5840093,0.1304169,0.253673,0.6390644
"AUT",1981,0.4409076,0.3512424,0.5980488,0.1364622,0.3179618,0.6686873
"AUT",1982,0.4374962,0.3485247,0.5955604,0.1354064,0.3505104,0.6635137
"AUT",1983,0.4396572,0.3502463,0.5971223,0.1360752,0.3155294,0.6667911
"AUT",1984,0.4292542,0.3419589,0.5892516,0.1328554,0.3953191,0.6510136
"AUT",1985,0.4765995,0.3796757,0.6189487,0.147509,0.4891908,0.7228183
"AUT",1986,0.4524789,0.3604604,0.6022266,0.1400436,0.4576944,0.6862366
"AUT",1987,0.4661477,0.3713495,0.6111948,0.1442741,0.4482687,0.706967
"AUT",1988,0.4867972,0.3877996,0.6237092,0.1506652,0.4595915,0.7382843
"AUT",1989,0.5076272,0.4043936,0.6354052,0.1762214,0.340203,0.7382843
"AUT",1990,0.5264671,0.4194021,0.6453062,0.1326482,0.388973,1
"AUT",1991,0.5295834,0.479412,0.7023983,0.1100105,0.4388823,0.720856
"AUT",1992,0.530521,0.5199183,0.7144055,0.1350109,0.4373318,0.3286039
"AUT",1993,0.6451321,0.5892743,0.7106054,0.161121,0.6267832,0.2566604
"AUT",1994,0.6378277,0.5763618,0.7050932,0.1873737,0.807797,0.5483044
"AUT",1995,0.6524782,0.5844098,0.7028809,0.1988516,0.6448721,0.8062795
"AUT",1996,0.6786528,0.6213458,0.7072839,0.201365,0.6340934,0.6069595
"AUT",1997,0.6763822,0.6316563,0.7194267,0.2173013,0.8433424,0.342599
"AUT",1998,0.6695734,0.6198872,0.7195672,0.2400723,0.7689435,0.4950113
"AUT",1999,0.6685476,0.6469462,0.7460489,0.2358612,0.8182462,0.3420749
"AUT",2000,0.6657217,0.6619822,0.7263573,0.2769717,0.9410518,0.2929436
"AUT",2001,0.6649774,0.6449122,0.699728,0.3005294,0.8129232,0.2616845
"AUT",2002,0.6594101,0.6444444,0.7058998,0.3553096,0.8926783,0.2026154
"AUT",2003,0.6627858,0.6474282,0.7075042,0.3860563,0.9625475,0.2442526
"AUT",2004,0.6689565,0.6519861,0.7106556,0.4315765,1,0.3311509
"AUT",2005,0.696596,0.6453277,0.7079479,0.5004742,1,0.4280528
"AUT",2006,0.6898795,0.6421244,0.6997766,0.6058194,1,0.4953606
"AUT",2007,0.6785187,0.640415,0.6851267,0.6370885,1,0.5681366
"AUT",2008,0.6808903,0.6371965,0.6330193,0.4428113,0.997067,0.6823941
"AUT",2009,0.6951994,0.6282917,0.6663725,0.4349052,0.9962568,0.3986496
"AUT",2010,0.6957254,0.6230946,0.6965543,0.4806074,0.9993504,0.7798191
"AUT",2011,0.6753599,0.6647674,0.71788,0.4629504,0.9298798,0.5071771
"AUT",2012,0.6655056,0.6744266,0.6870899,0.507539,0.9751563,0.4924451
"AUT",2013,0.6621479,0.6698993,0.6637802,0.5260869,0.9898515,0.4924451
"AUT",2014,0.6507947,0.662468,0.6980825,0.507207,0.892111,0.4924451
"BEL",1980,0.5615996,0.5541139,0.5828912,0.1251387,0.0136023,0.0519994
"BEL",1981,0.5595084,0.5520505,0.581687,0.1246727,0.0269984,0.0518058
"BEL",1982,0.5318301,0.6321985,0.6596717,0.142773,0.0133977,0.0593271
"BEL",1983,0.5270072,0.6747561,0.6907544,0.1523841,0.0265955,0.0633208
"BEL",1984,0.5303618,0.7049602,0.7079113,0.1592052,0.0396565,0.0661552
"BEL",1985,0.5100451,0.7347788,0.7319168,0.1659393,0.1316024,0.0689534
"BEL",1986,0.531503,0.8107057,0.7584704,0.1830864,0.1447627,0.0760786
"BEL",1987,0.5690557,0.8711855,0.7877336,0.2085119,0.2501608,0.0866438
"BEL",1988,0.6308039,0.8883433,0.7861584,0.2181502,0.1974811,0.0906488
"BEL",1989,0.7141141,0.8641576,0.7318279,0.2730653,0.2239079,0.1134679
"BEL",1990,0.7131649,0.8406005,0.701413,0.205815,0.2765842,0.0901899
"BEL",1991,0.7208093,0.8431909,0.6968855,0.2181107,0.2765813,0.0892618
"BEL",1992,0.7208093,0.8418227,0.6871462,0.1918859,0.2906233,0.1164632
"BEL",1993,0.7183866,0.8628478,0.7018219,0.2687204,0.2361386,0.1546991
"BEL",1994,0.7143357,0.8643556,0.7164953,0.2728961,0.3284657,0.1553567
"BEL",1995,0.6977252,0.8654592,0.7183615,0.2798271,0.2635688,0.1585066
"BEL",1996,0.7120121,0.8804935,0.7227831,0.3377034,0.1960357,0.228353
"BEL",1997,0.71341,0.8864859,0.7186045,0.4048237,0.2621766,0.2273898
"BEL",1998,0.701865,0.8879556,0.7054269,0.6103204,0.2231898,0.2843405
"BEL",1999,0.6789218,0.8941211,0.7230724,0.5590015,0.3938643,0.2698605
"BEL",2000,0.696735,0.8770572,0.7121662,0.5881613,0.3515723,0.2033201
"BEL",2001,0.689672,0.8762089,0.7675815,0.5717493,0.3645935,0.2319405
"BEL",2002,0.6558757,0.8446084,0.7243921,0.5202656,0.3125087,0.2264436
"BEL",2003,0.6658937,0.8834003,0.7488402,0.5413805,0.3481918,0.2784671
"BEL",2004,0.6784045,0.9195893,0.7556932,0.6166776,0.3991663,0.3521522
"BEL",2005,0.6848333,0.9179174,0.7666688,0.6234143,0.3565601,0.4398364
"BEL",2006,0.6891228,0.9153917,0.7806261,0.7582276,0.4577378,0.4761987
"BEL",2007,0.6957771,0.933219,0.7260882,0.7862757,0.3772762,0.6421004
"BEL",2008,0.6251486,0.9376282,0.6895279,0.6053377,0.2856749,0.7515173
"BEL",2009,0.6390073,0.9365057,0.7062457,0.704518,0.3445579,0.5855954
"BEL",2010,0.6259221,0.9469989,0.7501553,0.7096498,0.2072766,0.4127034
"BEL",2011,0.5868995,0.9391731,0.7320484,0.6482152,0.2791507,0.4221296
"BEL",2012,0.5917597,0.9323167,0.7097728,0.7154884,0.3020683,0.382935
"BEL",2013,0.6139476,0.9202209,0.7024298,0.7024566,0.4344107,0.382935
"BEL",2014,0.609899,0.904534,0.7390833,0.6697752,0.349942,0.382935
"DNK",1980,0.4905178,0.3754355,0.4810534,0.0791632,0.0530378,0.1555748
"DNK",1981,0.4736291,0.4538732,0.5686765,0.0957024,0.0263559,0.1880782
"DNK",1982,0.4654423,0.4128489,0.5151122,0.0870521,0.0524701,0.1710783
"DNK",1983,0.5028059,0.4942502,0.5704738,0.1042162,0.0522532,0.2048098
"DNK",1984,0.5587328,0.528218,0.5767218,0.1113785,0.2337185,0.2188856
"DNK",1985,0.6023559,0.4707894,0.4678613,0.0992693,0.3619219,0.195088
"DNK",1986,0.6789358,0.5200183,0.4700996,0.1096495,0.3858557,0.2154877
"DNK",1987,0.8300636,0.5989166,0.4624279,0.1262858,0.4344964,0.248182
"DNK",1988,0.8180147,0.7114331,0.5475643,0.1500107,0.5,0.2948071
"DNK",1989,0.8388976,0.7090511,0.5292191,0.2054389,0.3816702,0.4037368
"DNK",1990,0.8274199,0.6461511,0.4752714,0.1536018,0.3296475,0.2752061
"DNK",1991,0.8059939,0.6571409,0.5122246,0.1608243,0.2530826,0.2175803
"DNK",1992,0.8030909,0.649428,0.6376561,0.1445485,0.2013841,0.4013226
"DNK",1993,0.8144866,0.6494815,0.6494011,0.227676,0.200608,0.5545222
"DNK",1994,0.7731076,0.5807614,0.6617975,0.2534032,0.250168,0.5602643
"DNK",1995,0.776161,0.5615754,0.6373116,0.2025287,0.1744479,0.4608658
"DNK",1996,0.80644,0.6546981,0.6750873,0.2552144,0.272974,0.5326242
"DNK",1997,0.8238772,0.717117,0.7041558,0.3476532,0.2975461,0.5568066
"DNK",1998,0.8930986,0.7469609,0.7000619,0.3993878,0.2721269,0.719354
"DNK",1999,0.8824299,0.7347391,0.6935837,0.4002616,0.3955135,0.5994905
"DNK",2000,0.8871447,0.7873234,0.7035955,0.5019382,0.3946229,0.8449357
"DNK",2001,0.8969246,0.8085455,0.7259811,0.4260255,0.4436245,0.7075807
"DNK",2002,0.910412,0.8232977,0.7317656,0.3573093,0.3442763,0.6136941
"DNK",2003,0.9255683,0.8284661,0.7318817,0.4316055,0.3441558,0.6635674
"DNK",2004,0.9527256,0.8354999,0.7252083,0.4760296,0.4669079,0.7016149
"DNK",2005,0.9739546,0.8409867,0.7240605,0.614582,0.3923274,0.9071845
"DNK",2006,1,0.8497599,0.7114232,0.7588757,0.2691406,0.8487399
"DNK",2007,1,0.8522063,0.7252176,0.8253611,0.2929763,0.9354472
"DNK",2008,0.8937317,0.8438181,0.7164695,0.6014192,0.2191968,1
"DNK",2009,0.9541222,0.8251768,0.6816872,0.7511151,0.5,0.9155068
"DNK",2010,0.9712024,0.7615587,0.7155278,0.7827874,0.5,0.6788495
"DNK",2011,0.9451922,0.7276142,0.7108894,0.6904598,0.2664931,0.7189299
"DNK",2012,1,0.6661007,0.7042932,0.7349665,0.5,0.5128382
